Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Year,Month,Day,DayOfWeek,Start_Time_Clean,Start_Hour
2025-11-01,5:00p,Sacramento Kings,135,Milwaukee Bucks,133,Box Score,,17341,2:35,Fiserv Forum,,2025,11,1,Saturday,17:00,17
2025-11-01,6:00p,Minnesota Timberwolves,122,Charlotte Hornets,105,Box Score,,19444,2:17,Spectrum Center,,2025,11,1,Saturday,18:00,18
2025-11-01,7:00p,Golden State Warriors,109,Indiana Pacers,114,Box Score,,17274,2:26,Gainbridge Fieldhouse,,2025,11,1,Saturday,19:00,19
2025-11-01,7:00p,Orlando Magic,125,Washington Wizards,94,Box Score,,14602,2:07,Capital One Arena,,2025,11,1,Saturday,19:00,19
2025-11-01,8:00p,Houston Rockets,128,Boston Celtics,101,Box Score,,19156,2:07,TD Garden,,2025,11,1,Saturday,20:00,20
2025-11-01,10:00p,Dallas Mavericks,110,Detroit Pistons,122,Box Score,,20385,2:39,Mexico City Arena,,2025,11,1,Saturday,22:00,22
2025-11-02,3:30p,New Orleans Pelicans,106,Oklahoma City Thunder,137,Box Score,,18203,2:12,Paycom Center,,2025,11,2,Sunday,15:30,15
2025-11-02,6:00p,Philadelphia 76ers,129,Brooklyn Nets,105,Box Score,,17548,2:15,Barclays Center,,2025,11,2,Sunday,18:00,18
2025-11-02,6:00p,Utah Jazz,103,Charlotte Hornets,126,Box Score,,17123,2:20,Spectrum Center,,2025,11,2,Sunday,18:00,18
2025-11-02,6:00p,Atlanta Hawks,109,Cleveland Cavaliers,117,Box Score,,19432,2:26,Rocket Arena,,2025,11,2,Sunday,18:00,18
2025-11-02,6:00p,Memphis Grizzlies,104,Toronto Raptors,117,Box Score,,16746,2:12,Scotiabank Arena,,2025,11,2,Sunday,18:00,18
2025-11-02,7:00p,Chicago Bulls,116,New York Knicks,128,Box Score,,19812,2:16,Madison Square Garden (IV),,2025,11,2,Sunday,19:00,19
2025-11-02,8:00p,San Antonio Spurs,118,Phoenix Suns,130,Box Score,,17071,2:18,Mortgage Matchup Center,,2025,11,2,Sunday,20:00,20
2025-11-02,9:30p,Miami Heat,120,Los Angeles Lakers,130,Box Score,,18831,2:23,Crypto.com Arena,,2025,11,2,Sunday,21:30,21
2025-11-03,7:00p,Minnesota Timberwolves,125,Brooklyn Nets,109,Box Score,,17287,2:32,Barclays Center,,2025,11,3,Monday,19:00,19
2025-11-03,7:00p,Milwaukee Bucks,117,Indiana Pacers,115,Box Score,,17016,2:28,Gainbridge Fieldhouse,,2025,11,3,Monday,19:00,19
2025-11-03,7:30p,Utah Jazz,105,Boston Celtics,103,Box Score,,19156,2:27,TD Garden,,2025,11,3,Monday,19:30,19
2025-11-03,7:30p,Washington Wizards,102,New York Knicks,119,Box Score,,19812,2:15,Madison Square Garden (IV),,2025,11,3,Monday,19:30,19
2025-11-03,8:00p,Dallas Mavericks,102,Houston Rockets,110,Box Score,,18055,2:28,Toyota Center,,2025,11,3,Monday,20:00,20
2025-11-03,8:00p,Detroit Pistons,114,Memphis Grizzlies,106,Box Score,,13822,2:22,FedExForum,,2025,11,3,Monday,20:00,20
2025-11-03,9:00p,Sacramento Kings,124,Denver Nuggets,130,Box Score,,19653,2:13,Ball Arena,,2025,11,3,Monday,21:00,21
2025-11-03,10:00p,Los Angeles Lakers,123,Portland Trail Blazers,115,Box Score,,17083,2:15,Moda Center,,2025,11,3,Monday,22:00,22
2025-11-03,10:30p,Miami Heat,120,Los Angeles Clippers,119,Box Score,,17045,2:12,Intuit Dome,,2025,11,3,Monday,22:30,22
2025-11-04,7:30p,Milwaukee Bucks,100,Toronto Raptors,128,Box Score,,18357,2:16,Scotiabank Arena,,2025,11,4,Tuesday,19:30,19
2025-11-04,8:00p,Orlando Magic,112,Atlanta Hawks,127,Box Score,,15821,2:38,State Farm Arena,,2025,11,4,Tuesday,20:00,20
2025-11-04,8:00p,Philadelphia 76ers,111,Chicago Bulls,113,Box Score,,21016,2:17,United Center,,2025,11,4,Tuesday,20:00,20
2025-11-04,8:00p,Charlotte Hornets,112,New Orleans Pelicans,116,Box Score,,15555,2:19,Smoothie King Center,,2025,11,4,Tuesday,20:00,20
2025-11-04,10:00p,Phoenix Suns,107,Golden State Warriors,118,Box Score,,18064,2:20,Chase Center,,2025,11,4,Tuesday,22:00,22
2025-11-04,11:00p,Oklahoma City Thunder,126,Los Angeles Clippers,107,Box Score,,17195,2:19,Intuit Dome,,2025,11,4,Tuesday,23:00,23
2025-11-05,7:00p,Philadelphia 76ers,121,Cleveland Cavaliers,132,Box Score,,19432,2:24,Rocket Arena,,2025,11,5,Wednesday,19:00,19
2025-11-05,7:00p,Utah Jazz,103,Detroit Pistons,114,Box Score,,18403,2:18,Little Caesars Arena,,2025,11,5,Wednesday,19:00,19
2025-11-05,7:00p,Brooklyn Nets,112,Indiana Pacers,103,Box Score,,16103,2:26,Gainbridge Fieldhouse,,2025,11,5,Wednesday,19:00,19
2025-11-05,7:30p,Washington Wizards,107,Boston Celtics,136,Box Score,,19156,2:12,TD Garden,,2025,11,5,Wednesday,19:30,19
2025-11-05,7:30p,Minnesota Timberwolves,114,New York Knicks,137,Box Score,,19812,2:17,Madison Square Garden (IV),,2025,11,5,Wednesday,19:30,19
2025-11-05,8:00p,Houston Rockets,124,Memphis Grizzlies,109,Box Score,,15119,2:13,FedExForum,,2025,11,5,Wednesday,20:00,20
2025-11-05,8:30p,New Orleans Pelicans,101,Dallas Mavericks,99,Box Score,,18925,2:11,American Airlines Center,,2025,11,5,Wednesday,20:30,20
2025-11-05,9:00p,Miami Heat,112,Denver Nuggets,122,Box Score,,19862,2:15,Ball Arena,,2025,11,5,Wednesday,21:00,21
2025-11-05,10:00p,San Antonio Spurs,116,Los Angeles Lakers,118,Box Score,,18997,2:54,Crypto.com Arena,,2025,11,5,Wednesday,22:00,22
2025-11-05,10:00p,Oklahoma City Thunder,119,Portland Trail Blazers,121,Box Score,,16822,2:34,Moda Center,,2025,11,5,Wednesday,22:00,22
2025-11-05,10:00p,Golden State Warriors,116,Sacramento Kings,121,Box Score,,17832,2:21,Golden 1 Center,,2025,11,5,Wednesday,22:00,22
2025-11-06,9:00p,Los Angeles Clippers,102,Phoenix Suns,115,Box Score,,17071,2:17,Mortgage Matchup Center,,2025,11,6,Thursday,21:00,21
2025-11-07,7:00p,Boston Celtics,110,Orlando Magic,123,Box Score,,19154,2:19,Kia Center,NBA Cup,2025,11,7,Friday,19:00,19
2025-11-07,7:00p,Cleveland Cavaliers,148,Washington Wizards,115,Box Score,,14054,2:12,Capital One Arena,NBA Cup,2025,11,7,Friday,19:00,19
2025-11-07,7:30p,Toronto Raptors,109,Atlanta Hawks,97,Box Score,,16340,2:14,State Farm Arena,NBA Cup,2025,11,7,Friday,19:30,19
2025-11-07,7:30p,Detroit Pistons,125,Brooklyn Nets,107,Box Score,,17548,2:26,Barclays Center,NBA Cup,2025,11,7,Friday,19:30,19
2025-11-07,7:30p,Houston Rockets,110,San Antonio Spurs,121,Box Score,,19035,2:27,Frost Bank Center,NBA Cup,2025,11,7,Friday,19:30,19
2025-11-07,8:00p,Dallas Mavericks,104,Memphis Grizzlies,118,Box Score,,15028,2:17,FedExForum,NBA Cup,2025,11,7,Friday,20:00,20
2025-11-07,8:00p,Charlotte Hornets,108,Miami Heat,126,Box Score,,19600,2:20,Kaseya Center,NBA Cup,2025,11,7,Friday,20:00,20
2025-11-07,8:00p,Chicago Bulls,110,Milwaukee Bucks,126,Box Score,,17839,2:08,Fiserv Forum,NBA Cup,2025,11,7,Friday,20:00,20
2025-11-07,8:00p,Utah Jazz,97,Minnesota Timberwolves,137,Box Score,,17924,2:14,Target Center,NBA Cup,2025,11,7,Friday,20:00,20
2025-11-07,10:00p,Golden State Warriors,104,Denver Nuggets,129,Box Score,,19969,2:10,Ball Arena,NBA Cup,2025,11,7,Friday,22:00,22
2025-11-07,10:00p,Oklahoma City Thunder,132,Sacramento Kings,101,Box Score,,15767,2:13,Golden 1 Center,NBA Cup,2025,11,7,Friday,22:00,22
