1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
Time,Miami,,Score,,Orlando,pbp
12:00.0,Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession),Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession),Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession),Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession),Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession),pbp
11:43.0,,,0-2,+2,W. Carter makes 2-pt dunk from 1 ft (assist by P. Banchero),pbp
11:28.0,N. Powell makes 3-pt jump shot from 26 ft (assist by D. Mitchell),+3,3-2,,,pbp
11:28.0,,,3-2,,Loose ball foul by J. Suggs (drawn by B. Adebayo),pbp
11:28.0,,,3-2,,Instant Replay (Request: Stands),pbp
11:28.0,B. Adebayo makes free throw 1 of 1,+1,4-2,,,pbp
11:06.0,,,4-2,,J. Suggs misses 3-pt jump shot from 25 ft,pbp
11:03.0,Defensive rebound by N. Jović,,4-2,,,pbp
10:57.0,Shooting foul by J. Suggs (drawn by N. Powell),,4-2,,,pbp
10:57.0,N. Powell makes free throw 1 of 3,+1,5-2,,,pbp
10:57.0,N. Powell makes free throw 2 of 3,+1,6-2,,,pbp
10:57.0,N. Powell makes free throw 3 of 3,+1,7-2,,,pbp
10:50.0,,,7-2,,Personal foul by A. Wiggins (drawn by F. Wagner),pbp
10:40.0,,,7-2,,F. Wagner misses 2-pt jump shot from 17 ft,pbp
10:37.0,Defensive rebound by N. Powell,,7-2,,,pbp
10:30.0,B. Adebayo makes 3-pt jump shot from 27 ft (assist by D. Mitchell),+3,10-2,,,pbp
10:15.0,,,10-4,+2,D. Bane makes 2-pt layup from 3 ft (assist by J. Suggs),pbp
9:57.0,N. Jović misses 2-pt layup from 2 ft,,10-4,,,pbp
9:55.0,,,10-4,,Defensive rebound by F. Wagner,pbp
9:52.0,,,10-6,+2,F. Wagner makes 2-pt layup from 2 ft,pbp
9:37.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by N. Powell),+2,12-6,,,pbp
9:19.0,,,12-9,+3,J. Suggs makes 3-pt jump shot from 26 ft,pbp
9:08.0,Turnover by B. Adebayo (back court),,12-9,,,pbp
9:08.0,,,12-9,,T. Jones enters the game for J. Suggs,pbp
8:56.0,,,12-12,+3,D. Bane makes 3-pt jump shot from 26 ft,pbp
8:45.0,N. Powell misses 3-pt jump shot from 27 ft (block by D. Bane),,12-12,,,pbp
8:41.0,Offensive rebound by N. Powell,,12-12,,,pbp
8:40.0,N. Powell makes 3-pt jump shot from 26 ft,+3,15-12,,,pbp
8:28.0,,,15-12,,Shooting foul by A. Wiggins (drawn by F. Wagner),pbp
8:28.0,,,15-13,+1,F. Wagner makes free throw 1 of 2,pbp
8:28.0,J. Jaquez enters the game for A. Wiggins,,15-13,,,pbp
8:28.0,,,15-14,+1,F. Wagner makes free throw 2 of 2,pbp
8:14.0,N. Powell misses 2-pt jump shot from 6 ft,,15-14,,,pbp
8:10.0,,,15-14,,Defensive rebound by P. Banchero,pbp
8:00.0,,,15-17,+3,D. Bane makes 3-pt jump shot from 28 ft,pbp
7:50.0,D. Mitchell misses 2-pt jump shot from 4 ft,,15-17,,,pbp
7:47.0,Offensive rebound by D. Mitchell,,15-17,,,pbp
7:47.0,Shooting foul by D. Bane (drawn by N. Jović),,15-17,,,pbp
7:47.0,N. Jović makes free throw 1 of 2,+1,16-17,,,pbp
7:47.0,N. Jović makes free throw 2 of 2,+1,17-17,,,pbp
7:38.0,,,17-19,+2,P. Banchero makes 2-pt jump shot from 20 ft,pbp
7:22.0,N. Jović makes 3-pt jump shot from 26 ft (assist by D. Mitchell),+3,20-19,,,pbp
7:09.0,,,20-19,,T. Jones misses 2-pt jump shot from 10 ft,pbp
7:05.0,Defensive rebound by B. Adebayo,,20-19,,,pbp
6:59.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by N. Powell),+3,23-19,,,pbp
6:52.0,,,23-19,,Personal foul by J. Jaquez (drawn by F. Wagner),pbp
6:52.0,,,23-19,,Orlando full timeout,pbp
6:52.0,,,23-19,,J. Isaac enters the game for F. Wagner,pbp
6:49.0,,,23-19,,D. Bane misses 2-pt jump shot from 14 ft,pbp
6:46.0,Defensive rebound by B. Adebayo,,23-19,,,pbp
6:38.0,Shooting foul by W. Carter (drawn by B. Adebayo),,23-19,,,pbp
6:38.0,B. Adebayo makes free throw 1 of 2,+1,24-19,,,pbp
6:38.0,B. Adebayo misses free throw 2 of 2,,24-19,,,pbp
6:36.0,,,24-19,,Defensive rebound by P. Banchero,pbp
6:14.0,,,24-19,,P. Banchero misses 2-pt jump shot from 19 ft,pbp
6:11.0,,,24-19,,Offensive rebound by T. Jones,pbp
6:11.0,,,24-19,,Shooting foul by N. Powell (drawn by D. Bane),pbp
6:11.0,,,24-20,+1,D. Bane makes free throw 1 of 2,pbp
6:11.0,,,24-21,+1,D. Bane makes free throw 2 of 2,pbp
5:54.0,B. Adebayo misses 3-pt jump shot from 22 ft,,24-21,,,pbp
5:51.0,,,24-21,,Defensive rebound by T. Jones,pbp
5:46.0,,,24-23,+2,P. Banchero makes 2-pt layup from 3 ft (assist by T. Jones),pbp
5:37.0,Turnover by N. Jović (lost ball; steal by J. Isaac),,24-23,,,pbp
5:21.0,,,24-23,,Turnover by D. Bane (lost ball; steal by D. Mitchell),pbp
5:13.0,D. Mitchell makes 2-pt layup from 2 ft,+2,26-23,,,pbp
5:07.0,,,26-23,,D. Bane misses 2-pt layup from 9 ft,pbp
5:07.0,Defensive rebound by J. Jaquez,,26-23,,,pbp
4:57.0,N. Powell misses 3-pt jump shot from 22 ft,,26-23,,,pbp
4:56.0,,,26-23,,Defensive rebound by W. Carter,pbp
4:39.0,,,26-23,,J. Isaac misses 3-pt jump shot from 23 ft,pbp
4:36.0,Defensive rebound by N. Jović,,26-23,,,pbp
4:29.0,N. Jović makes 3-pt jump shot from 26 ft (assist by D. Mitchell),+3,29-23,,,pbp
4:12.0,,,29-23,,P. Banchero misses 2-pt jump shot from 17 ft,pbp
4:09.0,Defensive rebound by D. Mitchell,,29-23,,,pbp
4:05.0,D. Mitchell misses 3-pt jump shot from 27 ft,,29-23,,,pbp
4:02.0,,,29-23,,Defensive rebound by J. Isaac,pbp
3:51.0,,,29-23,,T. Jones misses 3-pt jump shot from 25 ft,pbp
3:50.0,,,29-23,,Offensive rebound by W. Carter,pbp
3:50.0,,,29-23,,W. Carter misses 2-pt layup from 1 ft (block by D. Mitchell),pbp
3:50.0,Defensive rebound by D. Mitchell,,29-23,,,pbp
3:44.0,Miami full timeout,,29-23,,,pbp
3:44.0,S. Fontecchio enters the game for B. Adebayo,,29-23,,,pbp
3:44.0,D. Smith enters the game for N. Jović,,29-23,,,pbp
3:44.0,K. Ware enters the game for D. Mitchell,,29-23,,,pbp
3:44.0,,,29-23,,G. Bitadze enters the game for D. Bane,pbp
3:44.0,,,29-23,,A. Black enters the game for W. Carter,pbp
3:44.0,,,29-23,,F. Wagner enters the game for J. Isaac,pbp
3:37.0,N. Powell makes 2-pt jump shot from 3 ft (assist by D. Smith),+2,31-23,,,pbp
3:12.0,,,31-23,,P. Banchero misses 2-pt jump shot from 14 ft,pbp
3:10.0,Defensive rebound by D. Smith,,31-23,,,pbp
3:09.0,Shooting foul by A. Black (drawn by J. Jaquez),,31-23,,,pbp
3:09.0,J. Jaquez makes free throw 1 of 2,+1,32-23,,,pbp
3:09.0,A. Wiggins enters the game for N. Powell,,32-23,,,pbp
3:09.0,J. Jaquez misses free throw 2 of 2,,32-23,,,pbp
3:06.0,,,32-23,,Defensive rebound by G. Bitadze,pbp
2:53.0,,,32-23,,A. Black misses 2-pt layup from 4 ft (block by A. Wiggins),pbp
2:51.0,Defensive rebound by A. Wiggins,,32-23,,,pbp
2:48.0,S. Fontecchio makes 2-pt jump shot from 21 ft (assist by A. Wiggins),+2,34-23,,,pbp
2:33.0,,,34-23,,Personal foul by S. Fontecchio (drawn by F. Wagner),pbp
2:33.0,,,34-23,,F. Wagner misses free throw 1 of 2,pbp
2:33.0,,,34-23,,Offensive rebound by Team,pbp
2:33.0,,,34-23,,T. Da Silva enters the game for P. Banchero,pbp
2:33.0,,,34-23,,J. Suggs enters the game for T. Jones,pbp
2:33.0,,,34-24,+1,F. Wagner makes free throw 2 of 2,pbp
2:24.0,J. Jaquez makes 2-pt jump shot from 4 ft,+2,36-24,,,pbp
2:10.0,,,36-27,+3,A. Black makes 3-pt jump shot from 25 ft (assist by J. Suggs),pbp
1:59.0,J. Jaquez misses 3-pt jump shot from 23 ft,,36-27,,,pbp
1:57.0,,,36-27,,Defensive rebound by J. Suggs,pbp
1:49.0,,,36-27,,Shooting foul by K. Ware (drawn by T. Da Silva),pbp
1:49.0,,,36-28,+1,T. Da Silva makes free throw 1 of 2,pbp
1:49.0,,,36-28,,T. Da Silva misses free throw 2 of 2,pbp
1:47.0,Defensive rebound by J. Jaquez,,36-28,,,pbp
1:33.0,D. Smith misses 2-pt layup from 5 ft,,36-28,,,pbp
1:30.0,Offensive rebound by K. Ware,,36-28,,,pbp
1:29.0,K. Ware misses 2-pt layup from 5 ft (block by G. Bitadze),,36-28,,,pbp
1:29.0,,,36-28,,Defensive rebound by A. Black,pbp
1:23.0,,,36-30,+2,J. Suggs makes 2-pt layup from 4 ft,pbp
1:14.0,Turnover by S. Fontecchio (step out of bounds),,36-30,,,pbp
0:59.0,,,36-30,,A. Black misses 3-pt jump shot from 23 ft,pbp
0:57.0,,,36-30,,Offensive rebound by Team,pbp
0:55.0,,,36-33,+3,J. Suggs makes 3-pt jump shot from 25 ft (assist by A. Black),pbp
0:43.0,Turnover by J. Jaquez (bad pass; steal by F. Wagner),,36-33,,,pbp
0:41.0,,,36-35,+2,A. Black makes 2-pt dunk from 1 ft (assist by F. Wagner),pbp
0:28.0,Personal foul by A. Black (drawn by A. Wiggins),,36-35,,,pbp
0:28.0,A. Wiggins misses free throw 1 of 2,,36-35,,,pbp
0:28.0,Offensive rebound by Team,,36-35,,,pbp
0:28.0,A. Wiggins makes free throw 2 of 2,+1,37-35,,,pbp
0:13.0,,,37-35,,Turnover by F. Wagner (lost ball; steal by D. Smith),pbp
0:10.0,A. Wiggins makes 2-pt layup from 4 ft (assist by D. Smith),+2,39-35,,,pbp
0:04.0,,,39-38,+3,F. Wagner makes 3-pt jump shot from 25 ft (assist by G. Bitadze),pbp
0:00.0,Team misses heave shot,,39-38,,,pbp
0:00.0,Offensive rebound by Team,,39-38,,,pbp
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,pbp
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,pbp
Time,Miami,,Score,,Orlando,pbp
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,pbp
11:45.0,A. Wiggins makes 2-pt layup from 4 ft,+2,41-38,,,pbp
11:28.0,,,41-38,,Personal foul by P. Larsson (drawn by F. Wagner),pbp
11:25.0,,,41-40,+2,F. Wagner makes 2-pt layup from 2 ft (assist by T. Jones),pbp
11:15.0,Turnover by D. Smith (bad pass; steal by F. Wagner),,41-40,,,pbp
11:09.0,,,41-40,,T. Jones misses 3-pt jump shot from 23 ft,pbp
11:06.0,Defensive rebound by K. Ware,,41-40,,,pbp
10:59.0,K. Ware makes 3-pt jump shot from 26 ft (assist by D. Smith),+3,44-40,,,pbp
10:43.0,,,44-40,,A. Black misses 2-pt layup from 3 ft,pbp
10:42.0,,,44-40,,Offensive rebound by G. Bitadze,pbp
10:41.0,,,44-42,+2,G. Bitadze makes 2-pt dunk from 3 ft,pbp
10:24.0,A. Wiggins makes 2-pt jump shot from 20 ft,+2,46-42,,,pbp
10:09.0,,,46-44,+2,A. Black makes 2-pt layup from 2 ft (assist by G. Bitadze),pbp
9:56.0,P. Larsson misses 3-pt jump shot from 27 ft,,46-44,,,pbp
9:53.0,,,46-44,,Defensive rebound by G. Bitadze,pbp
9:50.0,,,46-44,,Personal foul by P. Larsson (drawn by F. Wagner),pbp
9:50.0,Violation by Team (delay of game),,46-44,,,pbp
9:42.0,,,46-44,,Turnover by T. Da Silva (bad pass; steal by K. Ware),pbp
9:38.0,S. Fontecchio makes 2-pt layup from 3 ft (assist by D. Smith),+2,48-44,,,pbp
9:24.0,,,48-44,,T. Da Silva misses 3-pt jump shot from 24 ft,pbp
9:20.0,Defensive rebound by K. Ware,,48-44,,,pbp
9:08.0,A. Wiggins misses 2-pt hook shot from 7 ft,,48-44,,,pbp
9:05.0,,,48-44,,Defensive rebound by G. Bitadze,pbp
9:01.0,,,48-46,+2,F. Wagner makes 2-pt layup from 3 ft (assist by T. Jones),pbp
8:45.0,D. Smith makes 2-pt jump shot from 3 ft,+2,50-46,,,pbp
8:26.0,,,50-48,+2,T. Da Silva makes 2-pt jump shot from 6 ft,pbp
8:16.0,K. Ware misses 3-pt jump shot from 26 ft,,50-48,,,pbp
8:14.0,,,50-48,,Defensive rebound by F. Wagner,pbp
8:10.0,,,50-48,,Shooting foul by S. Fontecchio (drawn by T. Da Silva),pbp
8:10.0,,,50-49,+1,T. Da Silva makes free throw 1 of 2,pbp
8:10.0,B. Adebayo enters the game for P. Larsson,,50-49,,,pbp
8:10.0,J. Jaquez enters the game for D. Smith,,50-49,,,pbp
8:10.0,D. Mitchell enters the game for K. Ware,,50-49,,,pbp
8:10.0,,,50-49,,P. Banchero enters the game for F. Wagner,pbp
8:10.0,,,50-50,+1,T. Da Silva makes free throw 2 of 2,pbp
7:55.0,S. Fontecchio misses 3-pt jump shot from 26 ft,,50-50,,,pbp
7:52.0,,,50-50,,Defensive rebound by P. Banchero,pbp
7:41.0,,,50-53,+3,T. Da Silva makes 3-pt jump shot from 25 ft (assist by G. Bitadze),pbp
7:41.0,Miami full timeout,,50-53,,,pbp
7:41.0,N. Powell enters the game for S. Fontecchio,,50-53,,,pbp
7:23.0,N. Powell misses 2-pt jump shot from 11 ft (block by A. Black),,50-53,,,pbp
7:19.0,Offensive rebound by N. Powell,,50-53,,,pbp
7:19.0,B. Adebayo misses 3-pt jump shot from 24 ft,,50-53,,,pbp
7:16.0,,,50-53,,Defensive rebound by P. Banchero,pbp
7:12.0,,,50-53,,T. Da Silva misses 2-pt layup from 2 ft,pbp
7:10.0,,,50-53,,Offensive rebound by G. Bitadze,pbp
7:10.0,,,50-55,+2,G. Bitadze makes 2-pt layup at rim,pbp
7:10.0,N. Jović enters the game for A. Wiggins,,50-55,,,pbp
7:10.0,,,50-55,,D. Bane enters the game for G. Bitadze,pbp
7:10.0,,,50-55,,W. Carter enters the game for A. Black,pbp
6:50.0,Turnover by N. Jović (lost ball; steal by P. Banchero),,50-55,,,pbp
6:48.0,,,50-57,+2,P. Banchero makes 2-pt layup from 3 ft,pbp
6:48.0,,,50-57,,Shooting foul by D. Mitchell (drawn by P. Banchero),pbp
6:48.0,,,50-57,,P. Banchero misses free throw 1 of 1,pbp
6:39.0,Defensive rebound by J. Jaquez,,50-57,,,pbp
6:35.0,N. Powell makes 2-pt jump shot from 6 ft,+2,52-57,,,pbp
6:23.0,,,52-57,,W. Carter misses 3-pt jump shot from 23 ft,pbp
6:23.0,Defensive rebound by N. Powell,,52-57,,,pbp
6:11.0,N. Powell misses 2-pt layup from 1 ft,,52-57,,,pbp
6:09.0,,,52-57,,Defensive rebound by P. Banchero,pbp
5:48.0,,,52-57,,P. Banchero misses 3-pt jump shot from 26 ft,pbp
5:45.0,Defensive rebound by B. Adebayo,,52-57,,,pbp
5:40.0,J. Jaquez makes 2-pt layup from 2 ft (assist by B. Adebayo),+2,54-57,,,pbp
5:15.0,,,54-57,,Turnover by D. Bane (bad pass; steal by J. Jaquez),pbp
5:08.0,B. Adebayo misses 2-pt jump shot from 8 ft,,54-57,,,pbp
5:05.0,,,54-57,,Defensive rebound by T. Da Silva,pbp
5:05.0,,,54-57,,F. Wagner enters the game for T. Da Silva,pbp
5:00.0,,,54-57,,Shooting foul by B. Adebayo (drawn by P. Banchero),pbp
5:00.0,,,54-58,+1,P. Banchero makes free throw 1 of 2,pbp
5:00.0,,,54-58,,P. Banchero misses free throw 2 of 2,pbp
4:58.0,Defensive rebound by B. Adebayo,,54-58,,,pbp
4:49.0,Turnover by N. Jović (out of bounds lost ball),,54-58,,,pbp
4:33.0,,,54-58,,Turnover by T. Jones (bad pass; steal by N. Jović),pbp
4:32.0,Personal foul by F. Wagner (drawn by N. Jović),,54-58,,,pbp
4:21.0,Turnover by B. Adebayo (traveling),,54-58,,,pbp
4:05.0,,,54-58,,Turnover by W. Carter (bad pass; steal by D. Mitchell),pbp
3:53.0,Shooting foul by F. Wagner (drawn by B. Adebayo),,54-58,,,pbp
3:53.0,B. Adebayo makes free throw 1 of 2,+1,55-58,,,pbp
3:53.0,,,55-58,,A. Black enters the game for T. Jones,pbp
3:53.0,B. Adebayo makes free throw 2 of 2,+1,56-58,,,pbp
3:41.0,,,56-60,+2,F. Wagner makes 2-pt layup from 2 ft,pbp
3:26.0,D. Mitchell makes 2-pt layup from 2 ft,+2,58-60,,,pbp
3:15.0,,,58-60,,D. Bane misses 3-pt jump shot from 25 ft,pbp
3:15.0,Defensive rebound by Team,,58-60,,,pbp
3:15.0,,,58-60,,Loose ball foul by W. Carter (drawn by B. Adebayo),pbp
3:01.0,Shooting foul by W. Carter (drawn by B. Adebayo),,58-60,,,pbp
3:01.0,A. Wiggins enters the game for J. Jaquez,,58-60,,,pbp
3:01.0,,,58-60,,G. Bitadze enters the game for W. Carter,pbp
3:01.0,B. Adebayo makes free throw 1 of 2,+1,59-60,,,pbp
3:01.0,B. Adebayo makes free throw 2 of 2,+1,60-60,,,pbp
2:46.0,,,60-62,+2,F. Wagner makes 2-pt jump shot from 7 ft,pbp
2:36.0,Turnover by B. Adebayo (lost ball; steal by G. Bitadze),,60-62,,,pbp
2:28.0,,,60-65,+3,F. Wagner makes 3-pt jump shot from 26 ft (assist by D. Bane),pbp
2:04.0,A. Wiggins makes 2-pt jump shot from 19 ft,+2,62-65,,,pbp
1:48.0,,,62-65,,P. Banchero misses 2-pt jump shot from 14 ft,pbp
1:48.0,Defensive rebound by A. Wiggins,,62-65,,,pbp
1:36.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by N. Powell),+3,65-65,,,pbp
1:33.0,,,65-65,,Shooting foul by D. Mitchell (drawn by D. Bane),pbp
1:33.0,,,65-65,,Orlando full timeout,pbp
1:33.0,,,65-66,+1,D. Bane makes free throw 1 of 2,pbp
1:33.0,,,65-67,+1,D. Bane makes free throw 2 of 2,pbp
1:16.0,B. Adebayo misses 2-pt jump shot from 7 ft,,65-67,,,pbp
1:12.0,,,65-67,,Defensive rebound by D. Bane,pbp
1:05.0,,,65-69,+2,D. Bane makes 2-pt jump shot from 14 ft,pbp
0:54.0,A. Wiggins misses 2-pt jump shot from 5 ft,,65-69,,,pbp
0:51.0,,,65-69,,Defensive rebound by G. Bitadze,pbp
0:38.0,,,65-69,,F. Wagner misses 3-pt jump shot from 27 ft,pbp
0:36.0,Defensive rebound by N. Jović,,65-69,,,pbp
0:32.0,N. Jović misses 3-pt jump shot from 27 ft,,65-69,,,pbp
0:28.0,,,65-69,,Defensive rebound by G. Bitadze,pbp
0:07.0,,,65-69,,D. Bane misses 2-pt jump shot from 20 ft,pbp
0:05.0,Defensive rebound by N. Powell,,65-69,,,pbp
0:00.0,Team misses heave shot,,65-69,,,pbp
0:00.0,Offensive rebound by Team,,65-69,,,pbp
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,pbp
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,pbp
Time,Miami,,Score,,Orlando,pbp
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,pbp
11:43.0,N. Powell makes 2-pt layup from 3 ft,+2,67-69,,,pbp
11:27.0,,,67-69,,P. Banchero misses 2-pt jump shot from 11 ft,pbp
11:24.0,Defensive rebound by B. Adebayo,,67-69,,,pbp
