Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tobias Harris,34:24,.402,.375,.250,.083,5.5,21.7,13.1,14.9,1.3,0.0,0.0,14.7,105,112,-2.4
Cade Cunningham,34:16,.405,.354,.250,.417,5.5,15.6,10.2,44.1,1.4,0.0,9.6,37.1,94,113,-2.5
Ausar Thompson,33:02,.590,.625,.000,.375,0.0,29.1,13.6,28.5,1.4,2.5,9.7,12.7,123,108,4.1
Duncan Robinson,32:22,.143,.143,.714,.000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,10.0,28,121,-17.8
Jalen Duren,19:45,.582,.583,.000,.167,19.1,10.8,15.2,9.4,2.4,8.5,7.2,28.5,117,107,4.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ron Holland,26:58,.752,.650,.400,.600,0.0,15.8,7.4,16.5,3.4,3.1,13.7,22.0,134,107,7.7
Isaiah Stewart,24:54,.672,.643,.143,.143,18.9,21.4,20.1,14.0,0.0,13.5,0.0,24.2,146,107,14.1
Caris LeVert,21:27,.508,.500,.429,.286,0.0,5.0,2.3,12.3,2.2,0.0,11.3,16.8,98,115,-4.4
Javonte Green,9:31,.000,.000,.000,.000,0.0,0.0,0.0,0.0,4.9,8.8,0.0,8.5,0,105,-5.5
Paul Reed,3:21,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,25.1,50.0,24.2,58,105,7.2
Daniss Jenkins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Colby Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bobi Klintman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chaz Lanier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tolu Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.512,.479,.247,.268,25.5,73.3,47.9,67.4,7.7,17.5,8.4,100.0,107.4,111.2,
