Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandin Podziemski,35:19,.680,.650,.400,.400,0.0,12.1,6.0,13.2,1.3,2.4,0.0,13.8,144,113,3.0
Jimmy Butler,34:26,.557,.429,.143,.643,9.1,9.3,9.2,31.9,4.1,5.0,10.0,24.1,123,106,9.8
Jonathan Kuminga,31:49,.504,.469,.188,.125,3.3,13.4,8.3,10.6,0.0,0.0,0.0,22.0,111,117,-2.1
Draymond Green,29:44,.680,.600,.800,.400,3.5,32.3,17.7,4.5,0.0,0.0,33.8,12.4,94,112,-7.5
Stephen Curry,29:07,.476,.435,.696,.217,0.0,0.0,0.0,12.8,1.6,0.0,16.6,43.0,82,117,-7.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Moses Moody,16:06,.500,.500,.667,.000,0.0,13.3,6.6,24.8,0.0,5.3,0.0,7.7,133,114,2.3
Buddy Hield,15:25,.375,.375,1.000,.000,0.0,6.9,3.4,34.7,0.0,0.0,33.3,16.1,78,119,-7.1
Al Horford,15:13,.500,.500,.500,.000,0.0,42.1,20.8,9.6,0.0,0.0,20.0,13.6,85,109,-5.0
Quinten Post,12:49,.563,.563,.625,.000,8.1,16.6,12.3,0.0,0.0,0.0,11.1,29.1,97,116,-6.9
Gui Santos,11:14,1.250,1.250,.500,.000,27.9,9.5,18.8,14.0,0.0,0.0,33.3,11.1,164,118,5.3
Gary Payton II,8:48,.000,.000,1.000,.000,11.9,24.2,18.0,14.0,0.0,0.0,50.0,9.4,53,114,-15.4
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Will Richard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.547,.500,.489,.244,21.7,75.6,48.4,64.1,4.9,7.1,13.8,100.0,107.7,112.7,
