Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Vučević,33:47,.715,.682,.364,.182,14.2,39.3,27.8,33.6,2.7,0.0,20.2,17.7,142,112,10.3
Josh Giddey,32:56,.571,.571,.357,.286,3.6,37.2,21.8,19.3,1.4,2.2,16.0,22.9,110,114,0.9
Matas Buzelis,32:21,.522,.500,.500,.214,3.7,12.6,8.5,11.4,0.0,0.0,6.1,20.3,115,123,-5.1
Tre Jones,30:42,.643,.600,.400,.200,7.8,16.6,12.6,35.0,3.0,2.4,15.5,16.9,141,113,7.4
Isaac Okoro,24:17,.592,.563,.500,.125,0.0,0.0,0.0,4.9,0.0,0.0,10.6,15.6,112,125,-7.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ayo Dosunmu,26:51,.893,.900,.600,.400,0.0,11.4,6.2,10.1,0.0,0.0,0.0,17.6,180,123,7.7
Patrick Williams,21:43,.581,.556,.778,.333,5.5,9.4,7.6,11.3,0.0,0.0,0.0,19.1,135,123,-1.2
Kevin Huerter,20:39,.845,.813,.375,.250,0.0,0.0,0.0,13.7,0.0,3.5,18.4,21.2,135,121,0.9
Julian Phillips,9:31,.625,.625,.500,.000,0.0,0.0,0.0,0.0,0.0,7.6,0.0,16.9,125,118,-0.3
Jalen Smith,7:13,.000,.000,.250,.000,49.9,0.0,22.9,0.0,0.0,0.0,33.3,33.5,39,124,-48.3
Jevon Carter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Noa Essengue,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dalen Terry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.632,.609,.467,.228,30.0,83.0,58.6,68.8,4.8,6.1,15.1,100.0,123.5,118.6,
