Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Moses Moody,29:11,.441,.441,.706,.000,3.4,17.1,10.2,0.0,3.2,0.0,0.0,22.9,100,111,-8.1
Stephen Curry,29:03,.634,.625,.708,.042,3.4,10.3,6.8,10.6,1.6,5.2,10.9,37.2,115,114,7.4
Jimmy Butler,28:33,.731,.727,.000,.273,3.4,17.5,10.4,31.3,1.6,0.0,0.0,17.0,169,114,7.3
Quinten Post,27:34,.507,.438,.625,.250,3.6,10.9,7.2,19.0,1.7,2.8,10.1,14.1,125,115,-0.9
Gary Payton II,20:49,.563,.563,.250,.000,9.4,19.2,14.3,44.2,2.2,0.0,0.0,15.1,160,112,9.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Buddy Hield,22:45,.769,.769,.615,.000,12.9,8.8,10.9,24.7,2.0,0.0,13.3,26.0,142,116,10.7
Will Richard,21:42,.571,.571,.571,.286,9.0,18.4,13.7,5.0,4.3,0.0,0.0,14.3,137,108,0.2
Trayce Jackson-Davis,20:13,.363,.333,.000,.333,19.4,9.9,14.7,5.1,0.0,7.5,0.0,13.4,118,116,-7.7
Brandin Podziemski,17:47,.521,.375,.500,1.000,5.5,22.5,13.9,16.8,5.2,0.0,14.8,15.0,123,105,1.4
Pat Spencer,13:26,.521,.500,.500,1.000,0.0,14.9,7.4,7.5,0.0,0.0,25.8,11.4,90,119,-13.3
Gui Santos,8:57,.922,.875,.250,.500,0.0,0.0,0.0,30.7,0.0,0.0,29.1,30.3,130,124,8.2
Team Totals,240,.599,.582,.500,.173,32.7,70.8,51.5,66.7,10.6,7.9,8.2,100.0,129.7,113.2,
