Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Evan Mobley,35:19,.564,.531,.375,.500,8.9,27.7,18.6,19.1,0.0,10.1,17.0,27.4,106,92,5.5
Donovan Mitchell,32:55,.601,.571,.619,.429,3.2,11.9,7.7,31.1,2.8,0.0,13.8,36.2,111,97,7.8
De'Andre Hunter,32:07,.563,.563,.375,.000,0.0,9.2,4.7,14.0,0.0,0.0,0.0,10.2,128,104,-2.5
Sam Merrill,27:11,.658,.667,.667,.222,3.8,10.8,7.4,6.1,1.7,0.0,16.8,18.0,109,99,-0.6
Jarrett Allen,26:21,.694,.625,.000,1.000,4.0,18.6,11.5,12.6,0.0,3.4,14.8,21.1,126,99,4.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dean Wade,24:30,.500,.500,.500,.000,0.0,16.0,8.2,11.5,0.0,7.3,20.0,8.4,95,98,1.8
Lonzo Ball,22:02,.900,.900,1.000,.000,9.5,22.2,16.1,34.6,4.2,0.0,50.0,18.7,101,90,8.4
Nae'Qwan Tomlin,17:53,.250,.250,.250,.000,5.8,16.4,11.3,7.6,2.6,9.9,0.0,9.2,82,90,-0.2
Craig Porter Jr.,12:59,.307,.250,.000,.500,16.1,7.5,11.7,10.8,3.6,0.0,17.0,18.6,80,97,-4.9
Larry Nance Jr.,4:33,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,27.1,0,105,-42.8
Tyrese Proctor,4:10,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0,108,-24.0
Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.564,.536,.482,.349,23.9,77.6,51.6,63.2,6.7,16.7,18.0,100.0,103.9,96.2,
