Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Maxey,39:16,.691,.654,.385,.192,0.0,15.3,6.9,26.7,1.2,6.7,12.4,32.6,125,112,12.6
VJ Edgecombe,37:43,.466,.417,.250,.167,13.3,19.1,15.9,14.6,2.5,0.0,13.4,15.7,108,112,-2.1
Kelly Oubre Jr.,32:37,.758,.727,.364,.182,0.0,11.0,5.0,9.9,2.9,5.4,7.8,15.7,142,110,5.7
Joel Embiid,25:33,.423,.357,.286,.286,7.8,18.8,12.8,14.0,5.5,13.7,11.3,41.5,87,97,2.0
Jabari Walker,18:42,.291,.333,.000,.333,10.7,6.4,8.8,6.9,0.0,0.0,0.0,7.3,99,121,-8.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Quentin Grimes,29:34,.406,.364,.455,.273,3.4,8.1,5.5,19.4,6.3,3.0,24.5,22.0,77,104,-4.0
Adem Bona,22:27,.500,.500,.000,.000,8.9,10.7,9.7,0.0,0.0,3.9,0.0,3.5,136,118,-6.2
Trendon Watford,18:59,.645,.500,.000,1.250,0.0,25.3,11.5,14.5,0.0,0.0,24.4,17.2,108,116,-8.5
Jared McCain,15:09,.000,.000,.500,.000,0.0,7.9,3.6,15.8,0.0,0.0,0.0,10.5,32,121,-17.1
Johni Broome,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Andre Drummond,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Justin Edwards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Gordon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kyle Lowry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.531,.484,.319,.255,25.0,70.0,45.5,55.0,11.7,20.0,13.3,100.0,108.3,110.2,
