1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
Time,Miami,,Score,,Orlando
12:00.0,Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession),Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession),Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession),Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession),Jump ball: B. Adebayo vs. W. Carter (J. Suggs gains possession)
11:43.0,,,0-2,+2,W. Carter makes 2-pt dunk from 1 ft (assist by P. Banchero)
11:28.0,N. Powell makes 3-pt jump shot from 26 ft (assist by D. Mitchell),+3,3-2,,
11:28.0,,,3-2,,Loose ball foul by J. Suggs (drawn by B. Adebayo)
11:28.0,,,3-2,,Instant Replay (Request: Stands)
11:28.0,B. Adebayo makes free throw 1 of 1,+1,4-2,,
11:06.0,,,4-2,,J. Suggs misses 3-pt jump shot from 25 ft
11:03.0,Defensive rebound by N. Jović,,4-2,,
10:57.0,Shooting foul by J. Suggs (drawn by N. Powell),,4-2,,
10:57.0,N. Powell makes free throw 1 of 3,+1,5-2,,
10:57.0,N. Powell makes free throw 2 of 3,+1,6-2,,
10:57.0,N. Powell makes free throw 3 of 3,+1,7-2,,
10:50.0,,,7-2,,Personal foul by A. Wiggins (drawn by F. Wagner)
10:40.0,,,7-2,,F. Wagner misses 2-pt jump shot from 17 ft
10:37.0,Defensive rebound by N. Powell,,7-2,,
10:30.0,B. Adebayo makes 3-pt jump shot from 27 ft (assist by D. Mitchell),+3,10-2,,
10:15.0,,,10-4,+2,D. Bane makes 2-pt layup from 3 ft (assist by J. Suggs)
9:57.0,N. Jović misses 2-pt layup from 2 ft,,10-4,,
9:55.0,,,10-4,,Defensive rebound by F. Wagner
9:52.0,,,10-6,+2,F. Wagner makes 2-pt layup from 2 ft
9:37.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by N. Powell),+2,12-6,,
9:19.0,,,12-9,+3,J. Suggs makes 3-pt jump shot from 26 ft
9:08.0,Turnover by B. Adebayo (back court),,12-9,,
9:08.0,,,12-9,,T. Jones enters the game for J. Suggs
8:56.0,,,12-12,+3,D. Bane makes 3-pt jump shot from 26 ft
8:45.0,N. Powell misses 3-pt jump shot from 27 ft (block by D. Bane),,12-12,,
8:41.0,Offensive rebound by N. Powell,,12-12,,
8:40.0,N. Powell makes 3-pt jump shot from 26 ft,+3,15-12,,
8:28.0,,,15-12,,Shooting foul by A. Wiggins (drawn by F. Wagner)
8:28.0,,,15-13,+1,F. Wagner makes free throw 1 of 2
8:28.0,J. Jaquez enters the game for A. Wiggins,,15-13,,
8:28.0,,,15-14,+1,F. Wagner makes free throw 2 of 2
8:14.0,N. Powell misses 2-pt jump shot from 6 ft,,15-14,,
8:10.0,,,15-14,,Defensive rebound by P. Banchero
8:00.0,,,15-17,+3,D. Bane makes 3-pt jump shot from 28 ft
7:50.0,D. Mitchell misses 2-pt jump shot from 4 ft,,15-17,,
7:47.0,Offensive rebound by D. Mitchell,,15-17,,
7:47.0,Shooting foul by D. Bane (drawn by N. Jović),,15-17,,
7:47.0,N. Jović makes free throw 1 of 2,+1,16-17,,
7:47.0,N. Jović makes free throw 2 of 2,+1,17-17,,
7:38.0,,,17-19,+2,P. Banchero makes 2-pt jump shot from 20 ft
7:22.0,N. Jović makes 3-pt jump shot from 26 ft (assist by D. Mitchell),+3,20-19,,
7:09.0,,,20-19,,T. Jones misses 2-pt jump shot from 10 ft
7:05.0,Defensive rebound by B. Adebayo,,20-19,,
6:59.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by N. Powell),+3,23-19,,
6:52.0,,,23-19,,Personal foul by J. Jaquez (drawn by F. Wagner)
6:52.0,,,23-19,,Orlando full timeout
6:52.0,,,23-19,,J. Isaac enters the game for F. Wagner
6:49.0,,,23-19,,D. Bane misses 2-pt jump shot from 14 ft
6:46.0,Defensive rebound by B. Adebayo,,23-19,,
6:38.0,Shooting foul by W. Carter (drawn by B. Adebayo),,23-19,,
6:38.0,B. Adebayo makes free throw 1 of 2,+1,24-19,,
6:38.0,B. Adebayo misses free throw 2 of 2,,24-19,,
6:36.0,,,24-19,,Defensive rebound by P. Banchero
6:14.0,,,24-19,,P. Banchero misses 2-pt jump shot from 19 ft
6:11.0,,,24-19,,Offensive rebound by T. Jones
6:11.0,,,24-19,,Shooting foul by N. Powell (drawn by D. Bane)
6:11.0,,,24-20,+1,D. Bane makes free throw 1 of 2
6:11.0,,,24-21,+1,D. Bane makes free throw 2 of 2
5:54.0,B. Adebayo misses 3-pt jump shot from 22 ft,,24-21,,
5:51.0,,,24-21,,Defensive rebound by T. Jones
5:46.0,,,24-23,+2,P. Banchero makes 2-pt layup from 3 ft (assist by T. Jones)
5:37.0,Turnover by N. Jović (lost ball; steal by J. Isaac),,24-23,,
5:21.0,,,24-23,,Turnover by D. Bane (lost ball; steal by D. Mitchell)
5:13.0,D. Mitchell makes 2-pt layup from 2 ft,+2,26-23,,
5:07.0,,,26-23,,D. Bane misses 2-pt layup from 9 ft
5:07.0,Defensive rebound by J. Jaquez,,26-23,,
4:57.0,N. Powell misses 3-pt jump shot from 22 ft,,26-23,,
4:56.0,,,26-23,,Defensive rebound by W. Carter
4:39.0,,,26-23,,J. Isaac misses 3-pt jump shot from 23 ft
4:36.0,Defensive rebound by N. Jović,,26-23,,
4:29.0,N. Jović makes 3-pt jump shot from 26 ft (assist by D. Mitchell),+3,29-23,,
4:12.0,,,29-23,,P. Banchero misses 2-pt jump shot from 17 ft
4:09.0,Defensive rebound by D. Mitchell,,29-23,,
4:05.0,D. Mitchell misses 3-pt jump shot from 27 ft,,29-23,,
4:02.0,,,29-23,,Defensive rebound by J. Isaac
3:51.0,,,29-23,,T. Jones misses 3-pt jump shot from 25 ft
3:50.0,,,29-23,,Offensive rebound by W. Carter
3:50.0,,,29-23,,W. Carter misses 2-pt layup from 1 ft (block by D. Mitchell)
3:50.0,Defensive rebound by D. Mitchell,,29-23,,
3:44.0,Miami full timeout,,29-23,,
3:44.0,S. Fontecchio enters the game for B. Adebayo,,29-23,,
3:44.0,D. Smith enters the game for N. Jović,,29-23,,
3:44.0,K. Ware enters the game for D. Mitchell,,29-23,,
3:44.0,,,29-23,,G. Bitadze enters the game for D. Bane
3:44.0,,,29-23,,A. Black enters the game for W. Carter
3:44.0,,,29-23,,F. Wagner enters the game for J. Isaac
3:37.0,N. Powell makes 2-pt jump shot from 3 ft (assist by D. Smith),+2,31-23,,
3:12.0,,,31-23,,P. Banchero misses 2-pt jump shot from 14 ft
3:10.0,Defensive rebound by D. Smith,,31-23,,
3:09.0,Shooting foul by A. Black (drawn by J. Jaquez),,31-23,,
3:09.0,J. Jaquez makes free throw 1 of 2,+1,32-23,,
3:09.0,A. Wiggins enters the game for N. Powell,,32-23,,
3:09.0,J. Jaquez misses free throw 2 of 2,,32-23,,
3:06.0,,,32-23,,Defensive rebound by G. Bitadze
2:53.0,,,32-23,,A. Black misses 2-pt layup from 4 ft (block by A. Wiggins)
2:51.0,Defensive rebound by A. Wiggins,,32-23,,
2:48.0,S. Fontecchio makes 2-pt jump shot from 21 ft (assist by A. Wiggins),+2,34-23,,
2:33.0,,,34-23,,Personal foul by S. Fontecchio (drawn by F. Wagner)
2:33.0,,,34-23,,F. Wagner misses free throw 1 of 2
2:33.0,,,34-23,,Offensive rebound by Team
2:33.0,,,34-23,,T. Da Silva enters the game for P. Banchero
2:33.0,,,34-23,,J. Suggs enters the game for T. Jones
2:33.0,,,34-24,+1,F. Wagner makes free throw 2 of 2
2:24.0,J. Jaquez makes 2-pt jump shot from 4 ft,+2,36-24,,
2:10.0,,,36-27,+3,A. Black makes 3-pt jump shot from 25 ft (assist by J. Suggs)
1:59.0,J. Jaquez misses 3-pt jump shot from 23 ft,,36-27,,
1:57.0,,,36-27,,Defensive rebound by J. Suggs
1:49.0,,,36-27,,Shooting foul by K. Ware (drawn by T. Da Silva)
1:49.0,,,36-28,+1,T. Da Silva makes free throw 1 of 2
1:49.0,,,36-28,,T. Da Silva misses free throw 2 of 2
1:47.0,Defensive rebound by J. Jaquez,,36-28,,
1:33.0,D. Smith misses 2-pt layup from 5 ft,,36-28,,
1:30.0,Offensive rebound by K. Ware,,36-28,,
1:29.0,K. Ware misses 2-pt layup from 5 ft (block by G. Bitadze),,36-28,,
1:29.0,,,36-28,,Defensive rebound by A. Black
1:23.0,,,36-30,+2,J. Suggs makes 2-pt layup from 4 ft
1:14.0,Turnover by S. Fontecchio (step out of bounds),,36-30,,
0:59.0,,,36-30,,A. Black misses 3-pt jump shot from 23 ft
0:57.0,,,36-30,,Offensive rebound by Team
0:55.0,,,36-33,+3,J. Suggs makes 3-pt jump shot from 25 ft (assist by A. Black)
0:43.0,Turnover by J. Jaquez (bad pass; steal by F. Wagner),,36-33,,
0:41.0,,,36-35,+2,A. Black makes 2-pt dunk from 1 ft (assist by F. Wagner)
0:28.0,Personal foul by A. Black (drawn by A. Wiggins),,36-35,,
0:28.0,A. Wiggins misses free throw 1 of 2,,36-35,,
0:28.0,Offensive rebound by Team,,36-35,,
0:28.0,A. Wiggins makes free throw 2 of 2,+1,37-35,,
0:13.0,,,37-35,,Turnover by F. Wagner (lost ball; steal by D. Smith)
0:10.0,A. Wiggins makes 2-pt layup from 4 ft (assist by D. Smith),+2,39-35,,
0:04.0,,,39-38,+3,F. Wagner makes 3-pt jump shot from 25 ft (assist by G. Bitadze)
0:00.0,Team misses heave shot,,39-38,,
0:00.0,Offensive rebound by Team,,39-38,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Miami,,Score,,Orlando
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:45.0,A. Wiggins makes 2-pt layup from 4 ft,+2,41-38,,
11:28.0,,,41-38,,Personal foul by P. Larsson (drawn by F. Wagner)
11:25.0,,,41-40,+2,F. Wagner makes 2-pt layup from 2 ft (assist by T. Jones)
11:15.0,Turnover by D. Smith (bad pass; steal by F. Wagner),,41-40,,
11:09.0,,,41-40,,T. Jones misses 3-pt jump shot from 23 ft
11:06.0,Defensive rebound by K. Ware,,41-40,,
10:59.0,K. Ware makes 3-pt jump shot from 26 ft (assist by D. Smith),+3,44-40,,
10:43.0,,,44-40,,A. Black misses 2-pt layup from 3 ft
10:42.0,,,44-40,,Offensive rebound by G. Bitadze
10:41.0,,,44-42,+2,G. Bitadze makes 2-pt dunk from 3 ft
10:24.0,A. Wiggins makes 2-pt jump shot from 20 ft,+2,46-42,,
10:09.0,,,46-44,+2,A. Black makes 2-pt layup from 2 ft (assist by G. Bitadze)
9:56.0,P. Larsson misses 3-pt jump shot from 27 ft,,46-44,,
9:53.0,,,46-44,,Defensive rebound by G. Bitadze
9:50.0,,,46-44,,Personal foul by P. Larsson (drawn by F. Wagner)
9:50.0,Violation by Team (delay of game),,46-44,,
9:42.0,,,46-44,,Turnover by T. Da Silva (bad pass; steal by K. Ware)
9:38.0,S. Fontecchio makes 2-pt layup from 3 ft (assist by D. Smith),+2,48-44,,
9:24.0,,,48-44,,T. Da Silva misses 3-pt jump shot from 24 ft
9:20.0,Defensive rebound by K. Ware,,48-44,,
9:08.0,A. Wiggins misses 2-pt hook shot from 7 ft,,48-44,,
9:05.0,,,48-44,,Defensive rebound by G. Bitadze
9:01.0,,,48-46,+2,F. Wagner makes 2-pt layup from 3 ft (assist by T. Jones)
8:45.0,D. Smith makes 2-pt jump shot from 3 ft,+2,50-46,,
8:26.0,,,50-48,+2,T. Da Silva makes 2-pt jump shot from 6 ft
8:16.0,K. Ware misses 3-pt jump shot from 26 ft,,50-48,,
8:14.0,,,50-48,,Defensive rebound by F. Wagner
8:10.0,,,50-48,,Shooting foul by S. Fontecchio (drawn by T. Da Silva)
8:10.0,,,50-49,+1,T. Da Silva makes free throw 1 of 2
8:10.0,B. Adebayo enters the game for P. Larsson,,50-49,,
8:10.0,J. Jaquez enters the game for D. Smith,,50-49,,
8:10.0,D. Mitchell enters the game for K. Ware,,50-49,,
8:10.0,,,50-49,,P. Banchero enters the game for F. Wagner
8:10.0,,,50-50,+1,T. Da Silva makes free throw 2 of 2
7:55.0,S. Fontecchio misses 3-pt jump shot from 26 ft,,50-50,,
7:52.0,,,50-50,,Defensive rebound by P. Banchero
