Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,38:36,.467,.432,.273,.273,0.0,16.6,8.6,53.7,1.2,0.0,10.9,30.5,107,114,-0.5
Nikola Jokić,37:10,.729,.633,.400,.533,9.2,25.8,17.8,49.6,2.6,2.4,24.5,28.1,129,108,13.0
Aaron Gordon,35:43,.686,.667,.400,.267,3.2,26.9,15.4,4.8,2.7,5.0,5.6,21.2,128,105,6.5
Peyton Watson,34:04,.470,.455,.091,.364,3.4,6.3,4.9,0.0,2.8,2.6,7.3,17.2,92,111,-6.1
Tim Hardaway Jr.,29:29,1.081,1.063,.750,.750,0.0,10.9,5.6,5.6,0.0,3.0,0.0,15.4,210,116,16.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bruce Brown,30:05,.400,.214,.286,.571,7.6,14.2,11.0,4.3,0.0,0.0,0.0,12.4,110,117,-6.5
Spencer Jones,17:19,1.136,,,,0.0,0.0,0.0,7.1,5.5,0.0,53.2,4.6,123,108,-0.1
Jonas Valančiūnas,11:30,.630,.667,.000,1.333,29.8,27.8,28.8,27.2,0.0,7.7,0.0,17.6,159,109,9.4
Julian Strawther,6:04,.000,.000,1.000,.000,0.0,17.6,9.1,0.0,0.0,0.0,0.0,14.0,0,117,-19.5
Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Hunter Tyson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.617,.554,.349,.458,23.8,82.2,54.0,74.4,8.9,11.1,11.5,100.0,122.2,111.3,
