Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Matas Buzelis,33:57,.648,.571,.357,.357,6.3,39.5,22.5,9.1,0.0,4.7,19.8,23.9,113,116,-0.1
Isaac Okoro,31:44,.856,.857,.286,.571,6.7,7.0,6.9,9.0,0.0,7.6,10.2,12.4,161,120,6.1
Tre Jones,30:18,.578,.500,.000,1.333,0.0,7.4,3.6,21.9,4.5,0.0,17.4,15.3,115,116,-0.7
Kevin Huerter,27:12,.573,.588,.235,.059,3.9,4.1,4.0,15.1,3.4,0.0,10.3,28.8,108,118,-3.5
Nikola Vučević,25:29,.300,.300,.400,.000,4.2,21.9,12.8,16.0,0.0,0.0,23.1,20.5,66,123,-14.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Patrick Williams,23:32,.394,.375,.500,.250,18.1,4.7,11.6,5.8,1.9,3.4,25.3,20.3,81,119,-9.4
Ayo Dosunmu,21:56,.466,.417,.500,.167,0.0,15.3,7.5,13.6,4.2,0.0,23.7,31.0,79,115,-10.0
Jevon Carter,17:28,1.127,1.125,.750,.500,6.1,6.4,6.2,25.2,5.2,0.0,17.0,13.5,187,114,18.3
Jalen Smith,13:54,.563,.563,.625,.000,7.7,24.1,15.7,0.0,0.0,0.0,0.0,23.2,122,122,-2.0
Dalen Terry,10:25,.284,,,,0.0,10.7,5.2,11.2,4.4,0.0,36.2,10.7,54,115,-7.1
Julian Phillips,4:05,,,,,0.0,27.3,13.4,0.0,0.0,0.0,,0.0,0,122,-6.2
Josh Giddey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.575,.547,.384,.326,26.7,74.4,50.0,51.2,10.5,10.0,17.6,100.0,107.7,118.2,
