Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ryan Rollins,31:46,.787,.800,.400,.133,6.7,11.6,9.0,36.4,1.6,0.0,11.2,26.3,140,122,10.8
Kyle Kuzma,29:44,.291,.250,.167,.333,3.6,8.3,5.8,18.4,1.8,3.5,6.8,23.2,76,122,-11.3
Gary Trent Jr.,29:17,.200,.200,.400,.000,0.0,0.0,0.0,17.1,1.8,0.0,16.7,9.6,69,127,-12.2
Myles Turner,28:51,.648,.607,.571,.357,7.4,4.3,5.9,11.7,3.6,7.2,5.8,27.9,127,118,7.1
A.J. Green,26:51,.375,.375,.750,.000,0.0,13.8,6.4,9.4,0.0,0.0,0.0,7.0,99,125,-11.4
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bobby Portis,23:11,.583,.583,.083,.000,13.8,26.5,19.7,8.1,0.0,0.0,14.3,28.2,104,119,-7.3
Jericho Sims,17:59,.500,.500,.000,.000,11.9,34.2,22.2,14.3,0.0,0.0,33.3,7.8,112,116,-6.3
Cole Anthony,15:00,.167,.167,.167,.000,0.0,16.4,7.6,28.6,0.0,0.0,0.0,37.4,53,124,-26.3
Amir Coffey,11:38,.333,.333,.000,.000,0.0,10.6,4.9,0.0,0.0,0.0,0.0,12.1,69,126,-16.0
Mark Sears,5:52,.902,1.000,1.000,.667,0.0,0.0,0.0,34.6,0.0,0.0,20.5,38.9,121,130,15.1
Gary Harris,5:41,,,,,0.0,0.0,0.0,21.1,9.2,0.0,,0.0,230,110,4.9
Andre Jackson Jr.,5:41,,,,,0.0,21.7,10.1,63.3,0.0,18.4,,0.0,230,114,10.3
Pete Nance,4:19,1.000,1.000,.600,.000,0.0,28.5,13.2,0.0,0.0,0.0,0.0,54.1,206,119,59.3
Thanasis Antetokounmpo,4:10,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,50.1,0.0,11.2,200,112,18.2
Team Totals,240,.534,.523,.341,.148,22.2,61.5,40.5,72.5,6.5,13.0,8.8,100.0,108.8,120.8,
