Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ivica Zubac,32:55,.708,.682,.000,.136,22.7,44.6,32.4,38.6,0.0,0.0,7.9,34.4,141,122,12.0
James Harden,31:42,.466,.313,.500,.625,0.0,8.4,3.7,30.9,1.6,0.0,12.8,33.0,100,125,-6.2
John Collins,29:53,.322,.167,.167,.667,3.6,8.9,5.9,0.0,0.0,7.6,0.0,11.6,83,124,-8.9
Kawhi Leonard,26:25,.658,.577,.385,.385,0.0,15.1,6.7,13.9,5.6,0.0,20.8,32.5,106,114,2.7
Kris Dunn,23:54,.765,.700,.200,.400,8.9,11.2,9.9,13.0,2.1,0.0,14.5,12.9,145,123,1.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kobe Sanders,27:43,.625,.625,.500,.000,0.0,4.8,2.1,5.2,1.8,0.0,20.0,8.1,101,125,-5.7
Nicolas Batum,25:06,.600,.600,1.000,.000,4.2,10.6,7.1,5.8,0.0,0.0,16.7,10.7,109,128,-4.3
Chris Paul,17:01,1.000,1.000,.000,.000,0.0,7.8,3.5,41.3,0.0,0.0,66.7,7.9,105,129,-5.9
Brook Lopez,11:13,.000,.000,.500,.000,0.0,11.9,5.3,0.0,0.0,0.0,0.0,8.0,0,128,-16.7
Kobe Brown,3:32,.750,.750,1.000,.000,0.0,0.0,0.0,58.0,0.0,0.0,33.3,37.9,104,131,8.1
Cam Christie,3:32,.521,.500,.000,1.000,0.0,0.0,0.0,58.0,0.0,0.0,0.0,36.4,122,131,5.3
Yanic Konan Niederhauser,3:32,.000,.000,.000,.000,30.2,75.5,50.3,0.0,0.0,0.0,0.0,12.6,66,117,-13.4
Jahmyl Telfort,3:32,.000,.000,1.000,.000,0.0,37.7,16.8,0.0,0.0,0.0,0.0,12.6,0,124,-17.4
Team Totals,240,.574,.513,.325,.325,26.7,77.8,49.4,62.2,6.2,4.8,14.9,100.0,108.7,124.3,
