Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,31:45,.639,.429,.286,1.286,3.7,33.6,19.3,20.9,1.4,3.4,15.4,16.4,130,102,2.9
Brandon Ingram,29:54,.595,.500,.167,.750,3.9,14.3,9.3,8.4,4.5,0.0,11.1,24.1,115,101,1.2
Immanuel Quickley,29:28,.600,.600,.600,.000,0.0,10.9,5.7,28.6,0.0,0.0,16.7,16.4,116,112,-1.6
RJ Barrett,28:02,.586,.618,.412,.235,4.2,19.0,11.9,21.0,0.0,0.0,5.1,28.3,117,110,1.3
Jakob Poeltl,25:51,.726,.889,.000,1.556,18.1,20.6,19.4,5.6,1.7,4.2,6.2,25.1,140,103,6.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Sandro Mamukelashvili,22:09,.607,.611,.333,.222,0.0,19.3,10.1,17.5,2.0,4.9,0.0,17.9,130,102,5.2
Gradey Dick,19:21,.500,.500,.500,.000,6.1,27.6,17.3,6.5,2.3,0.0,11.1,18.7,97,103,-3.2
Collin Murray-Boyles,17:07,.727,.667,.000,.333,0.0,12.5,6.5,7.6,2.6,0.0,12.7,18.5,127,105,1.5
Jamal Shead,17:02,.583,.583,.667,.000,0.0,0.0,0.0,28.5,5.2,0.0,0.0,14.2,136,101,2.8
Ja'Kobe Walter,14:49,.521,.500,.500,1.000,0.0,0.0,0.0,0.0,9.0,0.0,41.0,13.2,58,92,-2.9
Garrett Temple,4:32,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0,114,-16.5
Jamison Battle,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.611,.592,.345,.483,19.5,84.4,53.5,60.4,12.1,6.8,11.7,100.0,119.9,103.2,
