Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Duncan Robinson,34:17,.488,.458,.917,.250,3.8,2.9,3.3,13.2,2.8,0.0,7.0,17.0,119,114,-2.2
Daniss Jenkins,33:27,.571,.548,.238,.190,7.8,0.0,3.3,35.6,1.4,0.0,14.9,32.5,119,118,-2.5
Ron Holland,30:31,.583,.583,.333,.000,4.3,19.3,12.8,7.3,1.6,5.9,33.3,12.0,91,106,-2.4
Jalen Duren,28:34,.869,.923,.000,.846,22.7,34.3,29.3,18.1,0.0,0.0,5.3,26.8,171,104,16.0
Isaiah Stewart,20:26,.635,.571,.714,.286,6.3,4.8,5.5,0.0,0.0,22.2,20.2,19.6,110,111,-3.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Javonte Green,27:08,.758,.682,.364,.455,4.8,10.8,8.2,0.0,3.5,0.0,0.0,19.8,167,108,4.4
Chaz Lanier,18:24,.500,.500,1.000,.000,7.1,5.3,6.1,5.7,2.6,0.0,0.0,6.6,141,113,-0.3
Caris LeVert,17:26,.474,.500,.375,.125,7.4,22.5,16.0,59.6,0.0,0.0,26.2,26.6,106,110,-1.2
Wendell Moore Jr.,15:00,.000,.000,.000,.000,0.0,13.1,7.4,0.0,3.2,0.0,33.3,8.1,0,108,-11.3
Paul Reed,13:28,.735,.667,.333,1.333,9.6,7.3,8.3,26.2,3.5,6.7,17.4,17.4,145,107,7.2
Isaac Jones,1:19,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.7,108,122,-12.7
Tolu Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.627,.597,.398,.341,37.8,59.2,50.0,60.4,8.9,15.1,14.4,100.0,125.5,110.7,
