Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Devin Booker,37:16,.535,.523,.318,.045,0.0,19.3,9.1,32.1,4.1,0.0,11.8,28.2,113,104,2.4
Grayson Allen,36:28,.692,.692,.692,.000,0.0,9.9,4.6,16.6,4.1,2.7,13.3,17.0,129,105,5.0
Royce O'Neale,28:27,.773,.773,.909,.000,3.7,12.7,7.9,10.9,0.0,0.0,8.3,17.4,146,115,5.3
Mark Williams,27:37,.611,.500,.000,.750,11.6,30.4,20.4,0.0,3.7,0.0,0.0,15.9,145,101,-0.7
Jalen Green,22:59,.653,.650,.650,.250,4.6,10.4,7.4,31.1,4.4,0.0,8.3,43.4,125,106,18.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Collin Gillespie,25:18,.085,.000,1.000,.400,8.4,14.2,11.2,32.4,2.0,0.0,25.4,12.8,81,111,-7.6
Ryan Dunn,24:56,.601,.500,.429,.429,21.4,0.0,11.3,16.4,2.0,4.0,19.4,17.1,130,112,3.5
Oso Ighodaro,11:34,.000,.000,.000,.000,9.2,20.7,14.6,10.1,4.4,0.0,0.0,3.6,106,102,-7.3
Nick Richards,11:22,.798,1.000,.000,2.000,9.4,21.1,14.9,0.0,0.0,0.0,51.5,14.1,75,113,-10.1
Jordan Goodwin,10:37,.000,.000,.500,.000,10.0,0.0,5.3,0.0,0.0,0.0,20.0,19.4,15,119,-31.0
Rasheer Fleming,1:09,,,,,0.0,100.0,49.1,0.0,0.0,0.0,,0.0,0,84,-15.8
Nigel Hayes-Davis,1:09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-7.3
Khaman Maluach,1:09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-8.5
Team Totals,240,.573,.549,.533,.207,33.3,72.5,51.8,65.9,13.7,4.2,13.8,100.0,120.8,107.1,
