Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Evan Mobley,36:02,.559,.500,.222,.889,0.0,16.7,10.1,20.7,0.0,2.3,32.4,23.2,91,105,-6.2
Donovan Mitchell,35:45,.738,.727,.364,.318,0.0,14.0,8.5,37.3,1.3,0.0,7.4,34.2,142,105,10.2
Sam Merrill,27:52,1.000,1.000,.900,.000,5.6,14.4,10.9,0.0,0.0,3.0,9.1,17.8,161,105,10.6
De'Andre Hunter,25:35,.500,.500,.364,.000,0.0,19.5,11.9,5.4,0.0,0.0,15.4,23.0,84,107,-11.0
Jarrett Allen,24:46,.685,.571,.000,.571,12.5,16.2,14.7,10.7,0.0,3.4,18.6,19.6,127,105,0.4
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dean Wade,27:32,.833,.833,.667,.000,0.0,29.1,17.7,12.9,3.4,3.1,0.0,4.9,180,95,9.8
Lonzo Ball,23:04,.338,.313,.750,.250,0.0,21.7,13.2,26.1,4.0,0.0,10.1,19.4,90,97,-4.6
Craig Porter Jr.,20:08,.917,.917,.333,.000,0.0,5.0,3.0,0.0,4.6,0.0,14.3,15.7,140,99,6.2
Nae'Qwan Tomlin,12:11,.500,.500,.500,.000,12.7,8.2,10.0,9.8,0.0,6.9,33.3,11.1,98,103,-3.2
Thomas Bryant,7:05,.000,.000,1.000,.000,0.0,28.2,17.2,0.0,0.0,0.0,0.0,6.4,0,105,-9.0
Larry Nance Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tyrese Proctor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.669,.652,.443,.266,12.9,85.4,57.0,56.8,6.8,8.8,16.9,100.0,114.5,102.8,
