Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rudy Gobert,33:46,.873,.900,.000,.200,3.6,33.3,19.6,3.6,1.3,11.7,8.4,14.2,159,100,7.7
Anthony Edwards,29:39,.666,.594,.688,.500,4.0,10.3,7.4,19.9,3.0,0.0,9.3,29.4,135,111,6.1
Donte DiVincenzo,28:21,.481,.357,.857,.429,12.7,3.6,7.8,13.9,3.2,2.8,0.0,11.9,141,111,0.7
Julius Randle,26:28,.563,.531,.250,.125,9.1,15.4,12.5,19.3,1.7,0.0,5.6,27.4,125,112,-1.6
Jaden McDaniels,26:10,.928,.900,.300,.300,4.6,15.6,10.5,14.7,0.0,6.0,15.0,20.6,160,112,8.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Naz Reid,25:14,.464,.464,.643,.000,0.0,16.2,8.7,9.0,3.6,3.1,6.7,24.1,96,106,-4.8
Mike Conley,17:33,1.000,1.000,1.000,.000,0.0,17.5,9.4,17.6,2.6,0.0,0.0,6.9,206,110,7.3
Rob Dillingham,15:36,.564,.438,.250,.500,0.0,0.0,0.0,21.6,0.0,0.0,17.0,30.5,110,121,-10.3
Jaylen Clark,15:27,1.127,1.125,1.000,.500,0.0,13.2,7.1,7.3,0.0,0.0,17.0,15.4,175,117,8.5
Bones Hyland,6:18,.667,.667,.333,.000,0.0,16.2,8.8,0.0,7.1,0.0,0.0,19.3,130,100,2.0
Joan Beringer,5:36,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.2,200,101,-2.6
Johnny Juzang,4:56,.333,.333,.667,.000,0.0,41.4,22.4,23.0,0.0,0.0,0.0,24.6,91,108,-14.1
Leonard Miller,4:56,.500,.500,.500,.000,24.3,0.0,11.2,23.0,0.0,0.0,0.0,16.4,145,121,0.4
Joe Ingles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.669,.629,.474,.247,22.5,74.5,50.6,53.8,10.3,14.8,9.3,100.0,134.9,109.6,
