Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Isaiah Collier,26:19,.563,.563,.375,.250,0.0,0.0,0.0,19.8,0.0,0.0,31.1,19.1,79,139,-13.7
Keyonte George,25:54,.605,.571,.357,.143,0.0,20.0,8.1,16.8,1.8,0.0,16.8,26.9,99,131,-2.3
Lauri Markkanen,21:10,.370,.286,.286,.357,0.0,12.3,4.9,17.5,6.5,0.0,0.0,29.9,90,122,-1.7
Jusuf Nurkić,19:06,.387,.333,.333,.667,4.6,20.4,10.9,30.9,2.4,4.8,34.0,12.0,81,126,-4.8
Svi Mykhailiuk,18:08,.750,.750,.750,.000,9.6,0.0,5.8,17.8,0.0,0.0,20.0,10.8,126,139,-4.4
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ace Bailey,23:58,.607,.556,.444,.222,14.6,10.8,13.1,22.3,1.9,0.0,23.3,21.0,106,132,-0.1
Brice Sensabaugh,23:05,.208,.208,.750,.000,0.0,0.0,0.0,20.2,0.0,0.0,0.0,20.3,61,139,-15.5
Kyle Filipowski,21:41,.418,.389,.444,.444,20.1,29.9,24.1,15.6,4.2,0.0,15.7,23.0,92,122,-5.3
Taylor Hendricks,17:23,.333,.333,.500,.000,5.0,7.5,6.0,9.4,5.3,5.3,0.0,13.5,86,123,-2.3
Kyle Anderson,12:00,.508,.429,.000,.286,14.5,21.6,17.4,69.6,0.0,0.0,11.3,28.9,116,134,2.9
Walter Clayton,11:43,.694,.500,.500,1.000,7.4,22.1,13.4,26.5,0.0,7.9,25.8,12.9,124,130,-1.8
Cody Williams,9:40,.363,.333,.333,.333,0.0,13.4,5.4,0.0,4.7,0.0,0.0,27.8,79,125,-10.0
Elijah Harkless,6:32,.568,,,,0.0,19.9,8.0,0.0,0.0,0.0,0.0,5.3,122,134,-13.1
Kevin Love,3:21,,,,,0.0,38.7,15.6,0.0,0.0,0.0,,0.0,0,130,-11.6
Team Totals,240,.462,.420,.415,.266,29.1,64.9,43.5,80.0,10.5,5.8,14.6,100.0,92.8,131.0,
