1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
Time,Brooklyn,,Score,,Charlotte,pbp
12:00.0,Jump ball: N. Claxton vs. R. Kalkbrenner (B. Saraf gains possession),Jump ball: N. Claxton vs. R. Kalkbrenner (B. Saraf gains possession),Jump ball: N. Claxton vs. R. Kalkbrenner (B. Saraf gains possession),Jump ball: N. Claxton vs. R. Kalkbrenner (B. Saraf gains possession),Jump ball: N. Claxton vs. R. Kalkbrenner (B. Saraf gains possession),pbp
11:33.0,N. Claxton misses 2-pt hook shot from 11 ft,,0-0,,,pbp
11:33.0,,,0-0,,Defensive rebound by Team,pbp
11:18.0,,,0-0,,Shooting foul by C. Thomas (drawn by M. Bridges),pbp
11:18.0,,,0-1,+1,M. Bridges makes free throw 1 of 2,pbp
11:18.0,,,0-1,,M. Bridges misses free throw 2 of 2,pbp
11:15.0,Defensive rebound by B. Saraf,,0-1,,,pbp
11:04.0,T. Mann misses 3-pt jump shot from 23 ft,,0-1,,,pbp
11:01.0,,,0-1,,Defensive rebound by K. Knueppel,pbp
10:56.0,,,0-3,+2,K. Knueppel makes 2-pt layup from 3 ft,pbp
10:43.0,Personal foul by B. Miller (drawn by C. Thomas),,0-3,,,pbp
10:34.0,C. Thomas misses 2-pt layup from 4 ft,,0-3,,,pbp
10:32.0,,,0-3,,Defensive rebound by R. Kalkbrenner,pbp
10:28.0,,,0-3,,B. Miller misses 3-pt jump shot from 26 ft,pbp
10:27.0,,,0-3,,Offensive rebound by M. Bridges,pbp
10:27.0,,,0-3,,Shooting foul by T. Mann (drawn by M. Bridges),pbp
10:27.0,,,0-4,+1,M. Bridges makes free throw 1 of 2,pbp
10:27.0,,,0-5,+1,M. Bridges makes free throw 2 of 2,pbp
10:12.0,N. Claxton makes 2-pt layup from 2 ft (assist by B. Saraf),+2,2-5,,,pbp
10:04.0,,,2-5,,Personal foul by M. Porter (drawn by L. Ball),pbp
9:58.0,,,2-5,,Turnover by R. Kalkbrenner (bad pass),pbp
9:43.0,M. Porter misses 3-pt jump shot from 25 ft,,2-5,,,pbp
9:40.0,,,2-5,,Defensive rebound by M. Bridges,pbp
9:36.0,,,2-7,+2,B. Miller makes 2-pt dunk from 2 ft (assist by L. Ball),pbp
9:25.0,B. Saraf makes 2-pt layup from 5 ft,+2,4-7,,,pbp
9:18.0,,,4-7,,L. Ball misses 3-pt jump shot from 25 ft,pbp
9:15.0,,,4-7,,Offensive rebound by M. Bridges,pbp
9:11.0,,,4-7,,Turnover by R. Kalkbrenner (3 sec),pbp
8:58.0,N. Claxton misses 2-pt hook shot from 10 ft (block by R. Kalkbrenner),,4-7,,,pbp
8:57.0,Offensive rebound by Team,,4-7,,,pbp
8:54.0,M. Porter makes 2-pt jump shot from 16 ft,+2,6-7,,,pbp
