1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
3:01.0,Turnover by J. Tyson (lost ball; steal by M. Bridges),,16-21,,,pbp
2:58.0,,,16-23,+2,M. Bridges makes 2-pt layup from 1 ft,pbp
2:48.0,L. Ball misses 3-pt jump shot from 26 ft,,16-23,,,pbp
2:45.0,,,16-23,,Defensive rebound by M. Bridges,pbp
2:37.0,,,16-25,+2,M. Bridges makes 2-pt jump shot from 20 ft,pbp
2:37.0,,,16-25,,Shooting foul by E. Mobley (drawn by M. Bridges),pbp
2:37.0,,,16-25,,New York full timeout,pbp
2:37.0,J. Allen enters the game for E. Mobley,,16-25,,,pbp
2:37.0,D. Mitchell enters the game for J. Tyson,,16-25,,,pbp
2:37.0,,,16-25,,O. Anunoby enters the game for G. Yabusele,pbp
2:37.0,,,16-26,+1,M. Bridges makes free throw 1 of 1,pbp
2:20.0,J. Allen makes 2-pt hook shot from 5 ft (assist by L. Ball),+2,18-26,,,pbp
2:01.0,,,18-26,,Personal foul by C. Porter (drawn by M. McBride),pbp
2:01.0,,,18-27,+1,M. McBride makes free throw 1 of 2,pbp
2:01.0,,,18-27,,L. Shamet enters the game for M. Bridges,pbp
2:01.0,,,18-28,+1,M. McBride makes free throw 2 of 2,pbp
1:47.0,L. Ball misses 3-pt jump shot from 25 ft,,18-28,,,pbp
1:44.0,,,18-28,,Defensive rebound by O. Anunoby,pbp
1:33.0,,,18-28,,M. McBride misses 3-pt jump shot from 25 ft,pbp
1:31.0,Defensive rebound by Team,,18-28,,,pbp
1:20.0,J. Allen misses 2-pt hook shot from 7 ft,,18-28,,,pbp
1:19.0,,,18-28,,Defensive rebound by O. Anunoby,pbp
1:09.0,,,18-30,+2,O. Anunoby makes 2-pt hook shot from 3 ft,pbp
0:50.0,D. Wade makes 3-pt jump shot from 26 ft (assist by L. Ball),+3,21-30,,,pbp
0:36.0,,,21-33,+3,M. McBride makes 3-pt jump shot from 26 ft (assist by L. Shamet),pbp
0:22.0,Personal foul by L. Shamet (drawn by L. Ball),,21-33,,,pbp
0:09.0,D. Mitchell makes 2-pt jump shot from 15 ft,+2,23-33,,,pbp
0:00.0,,,23-33,,Turnover by J. Brunson (bad pass; steal by J. Allen),pbp
0:00.0,Team misses heave shot,,23-33,,,pbp
0:00.0,Offensive rebound by Team,,23-33,,,pbp
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,pbp
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,pbp
Time,Cleveland,,Score,,New York,pbp
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,pbp
11:43.0,,,23-33,,O. Anunoby misses 3-pt jump shot from 25 ft,pbp
11:40.0,,,23-33,,Offensive rebound by K. Towns,pbp
11:37.0,,,23-35,+2,K. Towns makes 2-pt dunk from 1 ft,pbp
11:37.0,Cleveland full timeout,,23-35,,,pbp
11:27.0,D. Mitchell misses 2-pt layup from 1 ft,,23-35,,,pbp
11:25.0,,,23-35,,Defensive rebound by K. Towns,pbp
11:19.0,,,23-37,+2,O. Anunoby makes 2-pt dunk from 1 ft (assist by T. Kolek),pbp
11:07.0,C. Porter makes 2-pt jump shot from 12 ft,+2,25-37,,,pbp
10:43.0,,,25-40,+3,T. Kolek makes 3-pt jump shot from 25 ft,pbp
10:18.0,L. Nance makes 2-pt dunk from 1 ft (assist by C. Porter),+2,27-40,,,pbp
10:08.0,,,27-40,,Personal foul by T. Proctor (drawn by T. Kolek),pbp
10:08.0,J. Tyson enters the game for C. Porter,,27-40,,,pbp
9:55.0,,,27-40,,J. Clarkson misses 3-pt jump shot from 27 ft,pbp
9:52.0,,,27-40,,Offensive rebound by J. Clarkson,pbp
9:39.0,,,27-40,,J. Clarkson misses 2-pt layup from 1 ft,pbp
9:38.0,,,27-40,,Offensive rebound by Team,pbp
9:38.0,,,27-40,,Turnover by Team (shot clock),pbp
9:27.0,D. Mitchell misses 3-pt jump shot from 28 ft,,27-40,,,pbp
9:25.0,,,27-40,,Defensive rebound by K. Towns,pbp
9:13.0,,,27-40,,Shooting foul by L. Nance (drawn by K. Towns),pbp
9:13.0,,,27-41,+1,K. Towns makes free throw 1 of 2,pbp
9:13.0,E. Mobley enters the game for J. Allen,,27-41,,,pbp
9:13.0,,,27-42,+1,K. Towns makes free throw 2 of 2,pbp
8:58.0,Personal foul by T. Kolek (drawn by D. Mitchell),,27-42,,,pbp
8:51.0,L. Nance misses 2-pt layup from 4 ft (block by O. Anunoby),,27-42,,,pbp
8:50.0,Offensive rebound by Team,,27-42,,,pbp
8:47.0,E. Mobley makes 2-pt layup from 1 ft (assist by D. Mitchell),+2,29-42,,,pbp
8:47.0,Shooting foul by J. Clarkson (drawn by E. Mobley),,29-42,,,pbp
8:47.0,E. Mobley makes free throw 1 of 1,+1,30-42,,,pbp
8:33.0,,,30-42,,K. Towns misses 2-pt jump shot from 5 ft,pbp
8:31.0,Defensive rebound by J. Tyson,,30-42,,,pbp
8:25.0,J. Tyson misses 3-pt jump shot from 23 ft,,30-42,,,pbp
8:23.0,,,30-42,,Defensive rebound by Team,pbp
8:12.0,,,30-42,,Personal foul by T. Proctor (drawn by T. Kolek),pbp
8:00.0,,,30-42,,Turnover by K. Towns (lost ball; steal by E. Mobley),pbp
7:49.0,L. Nance makes 3-pt jump shot from 23 ft (assist by T. Proctor),+3,33-42,,,pbp
7:23.0,,,33-44,+2,J. Clarkson makes 2-pt jump shot from 8 ft,pbp
7:10.0,Turnover by D. Mitchell (bad pass),,33-44,,,pbp
7:10.0,D. Wade enters the game for D. Mitchell,,33-44,,,pbp
7:10.0,,,33-44,,M. Bridges enters the game for O. Anunoby,pbp
7:10.0,,,33-44,,A. Hukporti enters the game for G. Yabusele,pbp
6:52.0,,,33-44,,A. Hukporti misses 2-pt layup from 5 ft (block by E. Mobley),pbp
6:49.0,Defensive rebound by L. Nance,,33-44,,,pbp
6:45.0,Turnover by J. Tyson (bad pass; steal by M. Bridges),,33-44,,,pbp
6:40.0,,,33-44,,M. Bridges misses 2-pt layup from 1 ft,pbp
6:38.0,Defensive rebound by D. Wade,,33-44,,,pbp
6:34.0,J. Tyson makes 2-pt dunk from 1 ft (assist by E. Mobley),+2,35-44,,,pbp
6:17.0,,,35-44,,T. Kolek misses 3-pt jump shot from 26 ft,pbp
6:15.0,Defensive rebound by T. Proctor,,35-44,,,pbp
5:59.0,L. Nance makes 3-pt jump shot from 25 ft (assist by T. Proctor),+3,38-44,,,pbp
5:59.0,,,38-44,,New York full timeout,pbp
5:59.0,S. Merrill enters the game for T. Proctor,,38-44,,,pbp
5:59.0,,,38-44,,J. Brunson enters the game for J. Clarkson,pbp
5:59.0,,,38-44,,M. McBride enters the game for T. Kolek,pbp
5:59.0,,,38-44,,L. Shamet enters the game for K. Towns,pbp
5:39.0,,,38-44,,J. Brunson misses 2-pt jump shot from 3 ft,pbp
5:36.0,Defensive rebound by E. Mobley,,38-44,,,pbp
5:30.0,Turnover by E. Mobley (lost ball; steal by L. Shamet),,38-44,,,pbp
5:26.0,,,38-44,,Turnover by L. Shamet (bad pass),pbp
5:26.0,L. Ball enters the game for J. Tyson,,38-44,,,pbp
5:18.0,E. Mobley makes 3-pt jump shot from 25 ft,+3,41-44,,,pbp
4:57.0,,,41-44,,J. Brunson misses 3-pt jump shot from 25 ft,pbp
4:54.0,Defensive rebound by L. Nance,,41-44,,,pbp
4:44.0,E. Mobley makes 2-pt layup at rim (assist by L. Ball),+2,43-44,,,pbp
4:30.0,,,43-47,+3,M. McBride makes 3-pt jump shot from 25 ft (assist by A. Hukporti),pbp
4:13.0,S. Merrill misses 3-pt jump shot from 25 ft,,43-47,,,pbp
4:11.0,,,43-47,,Defensive rebound by L. Shamet,pbp
3:57.0,,,43-47,,J. Brunson misses 2-pt jump shot from 4 ft,pbp
3:55.0,Defensive rebound by E. Mobley,,43-47,,,pbp
3:44.0,E. Mobley misses 2-pt jump shot from 20 ft,,43-47,,,pbp
3:41.0,Offensive rebound by L. Nance,,43-47,,,pbp
3:41.0,L. Nance misses 2-pt layup at rim,,43-47,,,pbp
3:39.0,,,43-47,,Defensive rebound by M. McBride,pbp
3:36.0,,,43-47,,Shooting foul by D. Wade (drawn by L. Shamet),pbp
3:36.0,,,43-48,+1,L. Shamet makes free throw 1 of 3,pbp
3:36.0,D. Mitchell enters the game for L. Nance,,43-48,,,pbp
3:36.0,,,43-48,,O. Anunoby enters the game for A. Hukporti,pbp
3:36.0,,,43-49,+1,L. Shamet makes free throw 2 of 3,pbp
3:36.0,,,43-50,+1,L. Shamet makes free throw 3 of 3,pbp
3:24.0,D. Mitchell misses 2-pt jump shot from 4 ft,,43-50,,,pbp
3:22.0,,,43-50,,Defensive rebound by M. Bridges,pbp
