1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
0:44.0,,,86-87,,T. Kolek misses 2-pt layup from 1 ft,pbp
0:43.0,Defensive rebound by L. Nance,,86-87,,,pbp
0:35.0,D. Mitchell misses 3-pt jump shot from 28 ft,,86-87,,,pbp
0:32.0,,,86-87,,Defensive rebound by K. Towns,pbp
0:21.0,,,86-87,,O. Anunoby misses 3-pt jump shot from 26 ft,pbp
0:21.0,Defensive rebound by Team,,86-87,,,pbp
0:21.0,,,86-87,,Loose ball foul by K. Towns (drawn by J. Allen),pbp
0:21.0,J. Allen misses free throw 1 of 2,,86-87,,,pbp
0:21.0,Offensive rebound by Team,,86-87,,,pbp
0:21.0,E. Mobley enters the game for L. Ball,,86-87,,,pbp
0:21.0,D. Wade enters the game for D. Mitchell,,86-87,,,pbp
0:21.0,,,86-87,,J. Brunson enters the game for T. Kolek,pbp
0:21.0,,,86-87,,J. Clarkson enters the game for L. Shamet,pbp
0:21.0,J. Allen makes free throw 2 of 2,+1,87-87,,,pbp
0:04.0,,,87-87,,J. Clarkson misses 3-pt jump shot from 23 ft,pbp
0:01.0,Defensive rebound by J. Allen,,87-87,,,pbp
0:00.0,Team misses heave shot,,87-87,,,pbp
0:00.0,Offensive rebound by Team,,87-87,,,pbp
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,pbp
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q,pbp
Time,Cleveland,,Score,,New York,pbp
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,pbp
11:43.0,T. Proctor makes 2-pt jump shot from 16 ft,+2,89-87,,,pbp
11:19.0,,,89-87,,J. Clarkson misses 2-pt jump shot from 20 ft (block by J. Tyson),pbp
11:17.0,,,89-87,,Offensive rebound by O. Anunoby,pbp
11:17.0,,,89-87,,O. Anunoby misses 2-pt layup from 1 ft,pbp
11:16.0,,,89-87,,Offensive rebound by O. Anunoby,pbp
11:11.0,,,89-89,+2,O. Anunoby makes 2-pt dunk at rim,pbp
10:58.0,T. Proctor misses 3-pt jump shot from 26 ft,,89-89,,,pbp
10:56.0,,,89-89,,Defensive rebound by O. Anunoby,pbp
10:42.0,,,89-91,+2,K. Towns makes 2-pt layup from 1 ft (assist by J. Clarkson),pbp
10:42.0,,,89-91,,Shooting foul by L. Nance (drawn by K. Towns),pbp
10:42.0,,,89-92,+1,K. Towns makes free throw 1 of 1,pbp
10:27.0,D. Mitchell misses 2-pt layup from 4 ft,,89-92,,,pbp
10:24.0,,,89-92,,Defensive rebound by T. Kolek,pbp
10:15.0,,,89-95,+3,M. McBride makes 3-pt jump shot from 25 ft (assist by K. Towns),pbp
10:12.0,Cleveland full timeout,,89-95,,,pbp
10:12.0,E. Mobley enters the game for J. Allen,,89-95,,,pbp
10:01.0,Offensive foul by L. Nance (drawn by M. McBride),,89-95,,,pbp
10:01.0,Turnover by L. Nance (offensive foul),,89-95,,,pbp
9:46.0,,,89-95,,Shooting foul by E. Mobley (drawn by K. Towns),pbp
9:46.0,,,89-96,+1,K. Towns makes free throw 1 of 2,pbp
9:46.0,,,89-97,+1,K. Towns makes free throw 2 of 2,pbp
9:23.0,L. Nance misses 2-pt jump shot from 7 ft,,89-97,,,pbp
9:21.0,,,89-97,,Defensive rebound by O. Anunoby,pbp
9:00.0,,,89-99,+2,K. Towns makes 2-pt jump shot from 5 ft,pbp
8:49.0,Turnover by D. Mitchell (lost ball; steal by M. McBride),,89-99,,,pbp
8:45.0,,,89-101,+2,J. Clarkson makes 2-pt dunk from 1 ft (assist by M. McBride),pbp
8:44.0,Cleveland full timeout,,89-101,,,pbp
8:44.0,L. Ball enters the game for D. Mitchell,,89-101,,,pbp
8:44.0,S. Merrill enters the game for L. Nance,,89-101,,,pbp
8:44.0,D. Wade enters the game for T. Proctor,,89-101,,,pbp
8:23.0,E. Mobley makes 2-pt jump shot from 13 ft (assist by L. Ball),+2,91-101,,,pbp
8:04.0,,,91-101,,K. Towns misses 3-pt jump shot from 24 ft,pbp
8:01.0,Defensive rebound by E. Mobley,,91-101,,,pbp
7:57.0,E. Mobley makes 3-pt jump shot from 25 ft,+3,94-101,,,pbp
7:40.0,,,94-103,+2,T. Kolek makes 2-pt jump shot from 3 ft,pbp
7:30.0,Personal foul by T. Kolek (drawn by S. Merrill),,94-103,,,pbp
7:30.0,D. Mitchell enters the game for J. Tyson,,94-103,,,pbp
7:30.0,,,94-103,,M. Bridges enters the game for O. Anunoby,pbp
7:30.0,,,94-103,,J. Brunson enters the game for T. Kolek,pbp
7:30.0,,,94-103,,A. Hukporti enters the game for M. McBride,pbp
7:30.0,,,94-103,,L. Shamet enters the game for K. Towns,pbp
7:17.0,Turnover by L. Ball (bad pass),,94-103,,,pbp
6:54.0,,,94-103,,M. Bridges misses 2-pt layup from 2 ft,pbp
6:52.0,Defensive rebound by S. Merrill,,94-103,,,pbp
6:47.0,L. Ball makes 3-pt jump shot from 25 ft,+3,97-103,,,pbp
6:28.0,,,97-105,+2,J. Brunson makes 2-pt jump shot from 13 ft,pbp
6:16.0,L. Ball misses 3-pt jump shot from 27 ft,,97-105,,,pbp
6:13.0,,,97-105,,Defensive rebound by A. Hukporti,pbp
5:53.0,,,97-105,,J. Clarkson misses 2-pt jump shot from 8 ft,pbp
5:52.0,Defensive rebound by Team,,97-105,,,pbp
5:52.0,,,97-105,,Loose ball foul by A. Hukporti (drawn by D. Wade),pbp
5:45.0,Personal foul by M. Bridges (drawn by D. Mitchell),,97-105,,,pbp
5:45.0,J. Allen enters the game for E. Mobley,,97-105,,,pbp
5:34.0,D. Mitchell misses 3-pt jump shot from 25 ft,,97-105,,,pbp
5:31.0,,,97-105,,Defensive rebound by M. Bridges,pbp
5:15.0,,,97-105,,J. Brunson misses 3-pt jump shot from 25 ft,pbp
5:13.0,Defensive rebound by Team,,97-105,,,pbp
5:13.0,,,97-105,,Loose ball foul by J. Clarkson (drawn by D. Mitchell),pbp
5:13.0,,,97-105,,M. McBride enters the game for J. Clarkson,pbp
5:01.0,D. Mitchell misses 2-pt jump shot from 7 ft (block by M. Bridges),,97-105,,,pbp
4:58.0,,,97-105,,Defensive rebound by L. Shamet,pbp
4:47.0,,,97-105,,Personal foul by D. Mitchell (drawn by J. Brunson),pbp
4:47.0,E. Mobley enters the game for D. Mitchell,,97-105,,,pbp
4:47.0,,,97-105,,K. Towns enters the game for A. Hukporti,pbp
4:40.0,,,97-105,,Shooting foul by D. Wade (drawn by J. Brunson),pbp
4:40.0,,,97-105,,J. Brunson misses free throw 1 of 2,pbp
4:40.0,,,97-105,,Offensive rebound by Team,pbp
4:40.0,T. Proctor enters the game for D. Wade,,97-105,,,pbp
4:40.0,,,97-105,,O. Anunoby enters the game for L. Shamet,pbp
4:40.0,,,97-106,+1,J. Brunson makes free throw 2 of 2,pbp
4:32.0,S. Merrill misses 3-pt jump shot from 26 ft,,97-106,,,pbp
4:29.0,,,97-106,,Defensive rebound by K. Towns,pbp
4:09.0,,,97-106,,K. Towns misses 2-pt jump shot from 4 ft,pbp
4:08.0,Defensive rebound by Team,,97-106,,,pbp
4:08.0,,,97-106,,Loose ball foul by M. McBride (drawn by S. Merrill),pbp
4:08.0,S. Merrill makes free throw 1 of 2,+1,98-106,,,pbp
4:08.0,S. Merrill makes free throw 2 of 2,+1,99-106,,,pbp
3:54.0,,,99-106,,Personal foul by S. Merrill (drawn by M. Bridges),pbp
3:54.0,,,99-107,+1,M. Bridges makes free throw 1 of 2,pbp
3:54.0,D. Mitchell enters the game for L. Ball,,99-107,,,pbp
3:54.0,,,99-108,+1,M. Bridges makes free throw 2 of 2,pbp
3:36.0,T. Proctor misses 3-pt jump shot from 24 ft,,99-108,,,pbp
3:34.0,,,99-108,,Defensive rebound by M. Bridges,pbp
3:22.0,,,99-108,,Offensive foul by K. Towns (drawn by J. Allen),pbp
3:22.0,,,99-108,,Turnover by K. Towns (offensive foul),pbp
3:22.0,D. Wade enters the game for T. Proctor,,99-108,,,pbp
3:08.0,Turnover by D. Mitchell (lost ball; steal by O. Anunoby),,99-108,,,pbp
3:04.0,,,99-110,+2,M. Bridges makes 2-pt layup from 1 ft (assist by O. Anunoby),pbp
2:43.0,D. Wade makes 3-pt jump shot from 26 ft (assist by E. Mobley),+3,102-110,,,pbp
2:15.0,,,102-110,,J. Brunson misses 3-pt jump shot from 26 ft,pbp
2:12.0,Defensive rebound by D. Mitchell,,102-110,,,pbp
2:03.0,S. Merrill makes 3-pt jump shot from 25 ft (assist by D. Mitchell),+3,105-110,,,pbp
1:45.0,,,105-110,,M. Bridges misses 2-pt jump shot from 6 ft,pbp
1:42.0,Defensive rebound by E. Mobley,,105-110,,,pbp
1:37.0,E. Mobley misses 3-pt jump shot from 26 ft,,105-110,,,pbp
1:34.0,,,105-110,,Defensive rebound by J. Brunson,pbp
1:22.0,,,105-113,+3,O. Anunoby makes 3-pt jump shot from 24 ft (assist by M. Bridges),pbp
1:13.0,Personal foul by J. Brunson (drawn by D. Mitchell),,105-113,,,pbp
1:13.0,D. Mitchell makes free throw 1 of 2,+1,106-113,,,pbp
1:13.0,D. Mitchell makes free throw 2 of 2,+1,107-113,,,pbp
0:58.0,,,107-113,,Shooting foul by D. Wade (drawn by J. Brunson),pbp
0:58.0,,,107-114,+1,J. Brunson makes free throw 1 of 2,pbp
0:58.0,,,107-115,+1,J. Brunson makes free throw 2 of 2,pbp
0:45.0,Shooting foul by M. McBride (drawn by J. Allen),,107-115,,,pbp
0:45.0,J. Allen misses free throw 1 of 2,,107-115,,,pbp
0:45.0,Offensive rebound by Team,,107-115,,,pbp
0:45.0,J. Allen makes free throw 2 of 2,+1,108-115,,,pbp
0:39.0,,,108-115,,Personal take foul by S. Merrill (drawn by O. Anunoby),pbp
0:39.0,,,108-115,,O. Anunoby misses free throw 1 of 2,pbp
0:39.0,,,108-115,,Offensive rebound by Team,pbp
0:39.0,,,108-116,+1,O. Anunoby makes free throw 2 of 2,pbp
0:39.0,Cleveland full timeout,,108-116,,,pbp
0:39.0,L. Ball enters the game for J. Allen,,108-116,,,pbp
0:39.0,,,108-116,,L. Shamet enters the game for K. Towns,pbp
0:37.0,Turnover by L. Ball (bad pass; steal by O. Anunoby),,108-116,,,pbp
0:34.0,,,108-118,+2,O. Anunoby makes 2-pt dunk from 1 ft (assist by J. Brunson),pbp
0:28.0,S. Merrill makes 3-pt jump shot from 28 ft,+3,111-118,,,pbp
0:23.0,,,111-118,,Turnover by J. Brunson (lost ball; steal by E. Mobley),pbp
0:17.0,E. Mobley misses 3-pt jump shot from 26 ft,,111-118,,,pbp
0:15.0,,,111-118,,Defensive rebound by O. Anunoby,pbp
0:11.0,,,111-118,,Personal take foul by S. Merrill (drawn by O. Anunoby),pbp
0:11.0,T. Proctor enters the game for S. Merrill,,111-118,,,pbp
0:11.0,,,111-118,,O. Anunoby misses free throw 1 of 2,pbp
0:11.0,,,111-118,,Offensive rebound by Team,pbp
0:11.0,,,111-119,+1,O. Anunoby makes free throw 2 of 2,pbp
0:03.0,D. Mitchell misses 3-pt jump shot from 25 ft,,111-119,,,pbp
0:01.0,,,111-119,,Defensive rebound by O. Anunoby,pbp
0:00.0,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter,pbp
