1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
Time,Golden State,,Score,,LA Lakers
12:00.0,Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession)
11:39.0,,,0-2,+2,L. Dončić makes 2-pt jump shot from 14 ft
11:27.0,D. Green misses 3-pt jump shot from 27 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by A. Reaves
11:08.0,,,0-2,,Turnover by L. Dončić (lost ball; steal by D. Green)
11:00.0,B. Podziemski makes 2-pt jump shot from 3 ft (assist by J. Kuminga),+2,2-2,,
10:39.0,,,2-4,+2,A. Reaves makes 2-pt layup from 4 ft
10:38.0,,,2-4,,Violation by Team (delay of game)
10:24.0,D. Green misses 2-pt hook shot from 7 ft,,2-4,,
10:23.0,,,2-4,,Defensive rebound by L. Dončić
10:18.0,,,2-4,,L. Dončić misses 3-pt jump shot from 26 ft
10:15.0,Defensive rebound by B. Podziemski,,2-4,,
10:08.0,J. Butler makes 3-pt jump shot from 24 ft (assist by B. Podziemski),+3,5-4,,
9:48.0,,,5-4,,Turnover by A. Reaves (bad pass; steal by S. Curry)
9:44.0,J. Kuminga misses 2-pt layup from 2 ft,,5-4,,
9:42.0,,,5-4,,Defensive rebound by Team
9:27.0,,,5-4,,Turnover by A. Reaves (bad pass; steal by S. Curry)
9:24.0,Shooting foul by A. Reaves (drawn by J. Butler),,5-4,,
9:24.0,J. Butler makes free throw 1 of 2,+1,6-4,,
9:24.0,J. Butler makes free throw 2 of 2,+1,7-4,,
9:07.0,,,7-7,+3,L. Dončić makes 3-pt jump shot from 26 ft (assist by A. Reaves)
8:49.0,D. Green misses 3-pt jump shot from 28 ft,,7-7,,
8:45.0,,,7-7,,Defensive rebound by L. Dončić
8:36.0,,,7-9,+2,D. Ayton makes 2-pt hook shot from 5 ft (assist by L. Dončić)
8:31.0,J. Butler makes 2-pt dunk from 2 ft (assist by J. Kuminga),+2,9-9,,
8:27.0,,,9-9,,Offensive foul by R. Hachimura (drawn by B. Podziemski)
8:27.0,,,9-9,,Turnover by R. Hachimura (offensive foul)
8:13.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),+3,12-9,,
7:55.0,,,12-11,+2,D. Ayton makes 2-pt layup from 3 ft (assist by G. Vincent)
7:45.0,S. Curry misses 3-pt jump shot from 26 ft,,12-11,,
7:43.0,,,12-11,,Defensive rebound by R. Hachimura
7:36.0,,,12-11,,L. Dončić misses 3-pt jump shot from 27 ft
7:34.0,Defensive rebound by D. Green,,12-11,,
7:26.0,J. Kuminga misses 2-pt jump shot from 16 ft,,12-11,,
7:24.0,,,12-11,,Defensive rebound by L. Dončić
7:03.0,,,12-11,,Turnover by Team (shot clock)
