Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,36:47,.462,.320,.480,.480,2.9,14.2,8.6,25.2,1.3,5.1,11.7,41.1,94,111,0.5
Ivica Zubac,33:56,.538,.538,.000,.000,15.7,24.6,20.2,5.6,1.5,0.0,0.0,16.9,126,113,0.5
Kobe Sanders,30:24,.666,.591,.636,.364,0.0,3.4,1.7,5.8,1.6,0.0,7.3,20.0,126,117,1.0
John Collins,27:15,.539,.375,.000,.625,3.9,23.0,13.5,0.0,0.0,0.0,8.9,18.1,108,116,-7.1
Kris Dunn,27:06,.700,.700,.400,.000,3.9,3.9,3.9,29.8,1.8,0.0,16.7,9.8,139,116,0.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bogdan Bogdanović,26:29,.436,.389,.667,.333,0.0,27.6,13.9,30.7,1.9,0.0,0.0,17.2,109,111,0.8
Nicolas Batum,20:47,.698,.643,1.000,.286,0.0,30.1,15.2,8.2,2.4,0.0,11.3,18.8,124,109,5.2
Brook Lopez,14:02,.551,.500,.600,.200,0.0,7.4,3.8,0.0,0.0,0.0,15.5,20.2,91,119,-8.5
Cam Christie,12:01,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,7.8,33.3,11.0,62,116,-6.9
Chris Paul,11:13,.750,.750,.500,.000,0.0,18.6,9.4,0.0,0.0,0.0,0.0,7.9,143,117,-5.3
Kobe Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Yanic Konan Niederhauser,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jahmyl Telfort,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.546,.471,.448,.310,17.8,80.4,49.5,51.4,6.2,5.9,9.2,100.0,111.6,113.7,
