Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,35:34,.581,.521,.125,.417,6.4,16.9,12.0,16.3,2.7,0.0,9.6,37.1,114,98,7.0
Luguentz Dort,33:04,.700,.700,.800,.000,3.5,9.1,6.5,4.3,1.4,2.5,16.7,15.3,115,101,2.9
Chet Holmgren,31:01,.700,.700,.333,.000,3.7,19.3,12.0,6.1,1.5,8.0,28.6,28.5,93,94,1.5
Isaiah Hartenstein,26:31,.694,.500,.000,1.000,17.2,30.2,24.1,13.9,0.0,6.2,25.8,6.2,151,95,1.6
Cason Wallace,26:05,.667,.667,.556,.000,0.0,7.7,4.1,5.8,1.8,3.2,0.0,14.5,135,100,5.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ajay Mitchell,29:05,.533,.400,.300,.500,0.0,10.3,5.5,28.8,3.3,2.8,24.7,23.4,97,97,1.6
Alex Caruso,20:44,.143,.143,.714,.000,5.5,14.5,10.3,29.9,2.3,4.0,0.0,14.2,77,97,-1.5
Isaiah Joe,20:20,.518,.300,1.000,.800,0.0,9.8,5.2,6.1,0.0,4.1,0.0,14.0,121,103,-1.5
Jaylin Williams,9:40,.347,.000,1.000,1.000,0.0,10.3,5.5,12.1,4.9,0.0,0.0,12.5,96,94,-2.3
Branden Carlson,4:56,.333,.333,.333,.000,0.0,20.3,10.8,0.0,0.0,0.0,0.0,25.6,70,100,-18.8
Brooks Barnhizer,1:30,,,,,0.0,66.7,35.6,0.0,0.0,0.0,,0.0,0,89,0.3
Chris Youngblood,1:30,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,300,109,61.2
Ousmane Dieng,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.576,.523,.432,.261,21.4,75.0,50.0,53.7,8.9,17.2,14.0,100.0,111.4,97.6,
