Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Desmond Bane,39:10,.603,.500,.375,.438,3.1,15.7,9.3,17.8,6.1,0.0,13.6,24.2,118,106,4.8
Franz Wagner,36:23,.480,.412,.176,.235,3.3,23.7,13.4,11.7,1.3,3.1,5.1,23.3,106,114,-4.4
Wendell Carter Jr.,35:07,.882,.786,.429,.857,13.7,28.0,20.8,7.6,1.4,0.0,9.4,13.0,173,115,5.9
Jalen Suggs,31:56,.492,.364,.636,.455,0.0,19.3,9.5,32.5,3.0,3.6,18.5,21.8,104,110,-1.4
Tristan Da Silva,28:52,.577,.577,.538,.000,8.3,8.5,8.4,10.1,1.7,0.0,13.3,22.3,108,118,0.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Black,32:45,.653,.615,.231,.538,0.0,15.0,7.4,9.4,2.9,0.0,5.9,22.4,128,114,1.2
Tyus Jones,14:55,1.333,1.333,.667,.000,0.0,0.0,0.0,28.9,3.2,0.0,25.0,11.5,178,115,15.8
Goga Bitadze,13:54,1.000,1.000,.000,.000,8.6,8.9,8.7,31.7,3.5,8.2,25.0,12.4,157,108,14.2
Jonathan Isaac,6:49,.000,.000,.500,.000,17.6,18.1,17.8,0.0,0.0,0.0,33.3,18.9,29,120,-25.7
Jamal Cain,0:09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-6.0
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jase Richardson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.619,.553,.376,.341,25.0,84.6,54.4,65.1,14.0,7.1,12.5,100.0,120.9,112.9,
