1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
Time,Golden State,,Score,,LA Lakers,pbp
12:00.0,Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),pbp
11:39.0,,,0-2,+2,L. Dončić makes 2-pt jump shot from 14 ft,pbp
11:27.0,D. Green misses 3-pt jump shot from 27 ft,,0-2,,,pbp
11:24.0,,,0-2,,Defensive rebound by A. Reaves,pbp
11:08.0,,,0-2,,Turnover by L. Dončić (lost ball; steal by D. Green),pbp
11:00.0,B. Podziemski makes 2-pt jump shot from 3 ft (assist by J. Kuminga),+2,2-2,,,pbp
10:39.0,,,2-4,+2,A. Reaves makes 2-pt layup from 4 ft,pbp
10:38.0,,,2-4,,Violation by Team (delay of game),pbp
10:24.0,D. Green misses 2-pt hook shot from 7 ft,,2-4,,,pbp
10:23.0,,,2-4,,Defensive rebound by L. Dončić,pbp
10:18.0,,,2-4,,L. Dončić misses 3-pt jump shot from 26 ft,pbp
10:15.0,Defensive rebound by B. Podziemski,,2-4,,,pbp
10:08.0,J. Butler makes 3-pt jump shot from 24 ft (assist by B. Podziemski),+3,5-4,,,pbp
9:48.0,,,5-4,,Turnover by A. Reaves (bad pass; steal by S. Curry),pbp
9:44.0,J. Kuminga misses 2-pt layup from 2 ft,,5-4,,,pbp
9:42.0,,,5-4,,Defensive rebound by Team,pbp
9:27.0,,,5-4,,Turnover by A. Reaves (bad pass; steal by S. Curry),pbp
9:24.0,Shooting foul by A. Reaves (drawn by J. Butler),,5-4,,,pbp
9:24.0,J. Butler makes free throw 1 of 2,+1,6-4,,,pbp
9:24.0,J. Butler makes free throw 2 of 2,+1,7-4,,,pbp
9:07.0,,,7-7,+3,L. Dončić makes 3-pt jump shot from 26 ft (assist by A. Reaves),pbp
8:49.0,D. Green misses 3-pt jump shot from 28 ft,,7-7,,,pbp
8:45.0,,,7-7,,Defensive rebound by L. Dončić,pbp
8:36.0,,,7-9,+2,D. Ayton makes 2-pt hook shot from 5 ft (assist by L. Dončić),pbp
8:31.0,J. Butler makes 2-pt dunk from 2 ft (assist by J. Kuminga),+2,9-9,,,pbp
8:27.0,,,9-9,,Offensive foul by R. Hachimura (drawn by B. Podziemski),pbp
8:27.0,,,9-9,,Turnover by R. Hachimura (offensive foul),pbp
8:13.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),+3,12-9,,,pbp
7:55.0,,,12-11,+2,D. Ayton makes 2-pt layup from 3 ft (assist by G. Vincent),pbp
7:45.0,S. Curry misses 3-pt jump shot from 26 ft,,12-11,,,pbp
7:43.0,,,12-11,,Defensive rebound by R. Hachimura,pbp
7:36.0,,,12-11,,L. Dončić misses 3-pt jump shot from 27 ft,pbp
7:34.0,Defensive rebound by D. Green,,12-11,,,pbp
7:26.0,J. Kuminga misses 2-pt jump shot from 16 ft,,12-11,,,pbp
7:24.0,,,12-11,,Defensive rebound by L. Dončić,pbp
7:03.0,,,12-11,,Turnover by Team (shot clock),pbp
7:03.0,B. Hield enters the game for J. Butler,,12-11,,,pbp
7:03.0,G. Payton enters the game for B. Podziemski,,12-11,,,pbp
7:03.0,,,12-11,,M. Smart enters the game for G. Vincent,pbp
6:42.0,Turnover by D. Green (bad pass),,12-11,,,pbp
6:42.0,,,12-11,,LA Lakers full timeout,pbp
6:28.0,,,12-11,,M. Smart misses 3-pt jump shot from 27 ft,pbp
6:25.0,Defensive rebound by D. Green,,12-11,,,pbp
6:17.0,B. Hield misses 3-pt jump shot from 28 ft,,12-11,,,pbp
6:14.0,,,12-11,,Defensive rebound by L. Dončić,pbp
6:12.0,,,12-11,,A. Reaves misses 2-pt layup from 3 ft (block by G. Payton),pbp
6:12.0,,,12-11,,Offensive rebound by Team,pbp
6:09.0,,,12-11,,Turnover by L. Dončić (bad pass; steal by S. Curry),pbp
6:04.0,Turnover by B. Hield (bad pass),,12-11,,,pbp
5:46.0,,,12-11,,A. Reaves misses 3-pt jump shot from 27 ft,pbp
5:43.0,Defensive rebound by D. Green,,12-11,,,pbp
5:40.0,Personal foul by D. Ayton (drawn by S. Curry),,12-11,,,pbp
5:40.0,A. Horford enters the game for D. Green,,12-11,,,pbp
5:33.0,G. Payton misses 2-pt layup from 3 ft,,12-11,,,pbp
5:31.0,Offensive rebound by G. Payton,,12-11,,,pbp
5:30.0,G. Payton misses 2-pt layup from 2 ft (block by D. Ayton),,12-11,,,pbp
5:30.0,,,12-11,,Defensive rebound by L. Dončić,pbp
5:23.0,,,12-11,,L. Dončić misses 2-pt layup from 3 ft,pbp
5:22.0,,,12-11,,Offensive rebound by D. Ayton,pbp
5:22.0,Technical foul by D. Green,,12-11,,,pbp
5:22.0,,,12-11,,A. Reaves misses technical free throw,pbp
5:22.0,,,12-11,,Offensive rebound by Team,pbp
5:14.0,,,12-11,,L. Dončić misses 3-pt jump shot from 28 ft,pbp
5:12.0,Defensive rebound by J. Kuminga,,12-11,,,pbp
5:08.0,Turnover by J. Kuminga (bad pass; steal by M. Smart),,12-11,,,pbp
5:05.0,,,12-11,,M. Smart misses 3-pt jump shot from 23 ft,pbp
5:03.0,Defensive rebound by A. Horford,,12-11,,,pbp
5:00.0,Offensive foul by G. Payton (drawn by L. Dončić),,12-11,,,pbp
5:00.0,Turnover by G. Payton (offensive foul),,12-11,,,pbp
5:00.0,,,12-11,,J. LaRavia enters the game for A. Reaves,pbp
4:49.0,,,12-11,,Shooting foul by G. Payton (drawn by L. Dončić),pbp
4:49.0,,,12-12,+1,L. Dončić makes free throw 1 of 2,pbp
4:49.0,,,12-12,,L. Dončić misses free throw 2 of 2,pbp
4:47.0,Defensive rebound by J. Kuminga,,12-12,,,pbp
4:32.0,J. Kuminga makes 3-pt jump shot from 27 ft (assist by S. Curry),+3,15-12,,,pbp
4:24.0,,,15-12,,Turnover by D. Ayton (bad pass; steal by B. Hield),pbp
4:23.0,B. Hield makes 2-pt layup from 3 ft,+2,17-12,,,pbp
4:07.0,,,17-14,+2,L. Dončić makes 2-pt jump shot from 13 ft,pbp
3:57.0,S. Curry misses 3-pt jump shot from 27 ft,,17-14,,,pbp
3:54.0,,,17-14,,Defensive rebound by Team,pbp
3:54.0,J. Butler enters the game for S. Curry,,17-14,,,pbp
3:54.0,B. Podziemski enters the game for J. Kuminga,,17-14,,,pbp
3:54.0,,,17-14,,J. Hayes enters the game for D. Ayton,pbp
3:54.0,,,17-14,,J. Vanderbilt enters the game for R. Hachimura,pbp
3:41.0,,,17-14,,J. Vanderbilt misses 2-pt layup from 2 ft,pbp
3:40.0,Defensive rebound by A. Horford,,17-14,,,pbp
3:26.0,Shooting foul by J. LaRavia (drawn by J. Butler),,17-14,,,pbp
3:26.0,J. Butler makes free throw 1 of 2,+1,18-14,,,pbp
3:26.0,J. Butler makes free throw 2 of 2,+1,19-14,,,pbp
3:12.0,,,19-14,,L. Dončić misses 3-pt jump shot from 27 ft,pbp
3:09.0,Defensive rebound by A. Horford,,19-14,,,pbp
2:57.0,B. Hield makes 3-pt jump shot from 27 ft,+3,22-14,,,pbp
2:42.0,,,22-14,,Shooting foul by G. Payton (drawn by L. Dončić),pbp
2:42.0,Golden State full timeout,,22-14,,,pbp
2:42.0,G. Santos enters the game for G. Payton,,22-14,,,pbp
2:42.0,,,22-15,+1,L. Dončić makes free throw 1 of 2,pbp
2:42.0,,,22-16,+1,L. Dončić makes free throw 2 of 2,pbp
2:21.0,B. Podziemski misses 2-pt jump shot from 15 ft,,22-16,,,pbp
2:18.0,,,22-16,,Defensive rebound by J. Hayes,pbp
2:13.0,,,22-16,,Personal foul by J. Butler (drawn by L. Dončić),pbp
2:13.0,W. Richard enters the game for B. Hield,,22-16,,,pbp
2:01.0,,,22-16,,Turnover by M. Smart (bad pass; steal by J. Butler),pbp
2:01.0,,,22-16,,A. Reaves enters the game for L. Dončić,pbp
1:38.0,J. Butler misses 2-pt jump shot from 14 ft,,22-16,,,pbp
1:37.0,,,22-16,,Defensive rebound by J. Hayes,pbp
1:30.0,,,22-16,,Shooting foul by W. Richard (drawn by A. Reaves),pbp
1:30.0,,,22-17,+1,A. Reaves makes free throw 1 of 2,pbp
1:30.0,,,22-18,+1,A. Reaves makes free throw 2 of 2,pbp
1:09.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Butler),+3,25-18,,,pbp
0:58.0,,,25-18,,Turnover by A. Reaves (lost ball; steal by W. Richard),pbp
0:56.0,Offensive foul by B. Podziemski (drawn by A. Reaves),,25-18,,,pbp
0:56.0,Turnover by B. Podziemski (offensive foul),,25-18,,,pbp
0:37.0,,,25-20,+2,A. Reaves makes 2-pt layup from 2 ft,pbp
0:32.0,Turnover by G. Santos (bad pass; steal by J. Vanderbilt),,25-20,,,pbp
0:27.0,,,25-22,+2,J. Hayes makes 2-pt layup from 3 ft (assist by A. Reaves),pbp
0:03.0,Shooting foul by M. Smart (drawn by J. Butler),,25-22,,,pbp
0:03.0,,,25-22,,LA Lakers full timeout,pbp
0:03.0,,,25-22,,Instant Replay (Challenge: Stands),pbp
0:03.0,D. Green enters the game for A. Horford,,25-22,,,pbp
0:03.0,J. Kuminga enters the game for B. Podziemski,,25-22,,,pbp
0:03.0,G. Payton enters the game for G. Santos,,25-22,,,pbp
0:03.0,J. Butler makes free throw 1 of 3,+1,26-22,,,pbp
0:03.0,J. Butler makes free throw 2 of 3,+1,27-22,,,pbp
0:03.0,J. Butler makes free throw 3 of 3,+1,28-22,,,pbp
0:00.0,,,28-22,,A. Reaves misses 3-pt jump shot from 27 ft,pbp
0:00.0,,,28-22,,Offensive rebound by Team,pbp
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,pbp
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,pbp
Time,Golden State,,Score,,LA Lakers,pbp
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,pbp
11:52.0,Turnover by J. Butler (traveling),,28-22,,,pbp
11:42.0,,,28-25,+3,G. Vincent makes 3-pt jump shot from 26 ft (assist by A. Reaves),pbp
11:25.0,J. Butler misses 2-pt jump shot from 15 ft,,28-25,,,pbp
11:23.0,,,28-25,,Defensive rebound by A. Reaves,pbp
11:18.0,,,28-25,,A. Reaves misses 3-pt jump shot from 26 ft,pbp
11:15.0,,,28-25,,Offensive rebound by J. LaRavia,pbp
11:08.0,,,28-25,,Shooting foul by J. Butler (drawn by J. LaRavia),pbp
11:08.0,,,28-25,,J. LaRavia misses free throw 1 of 2,pbp
11:08.0,,,28-25,,Offensive rebound by Team,pbp
11:08.0,,,28-25,,J. LaRavia misses free throw 2 of 2,pbp
11:06.0,Defensive rebound by D. Green,,28-25,,,pbp
10:51.0,B. Podziemski makes 2-pt jump shot from 17 ft (assist by Q. Post),+2,30-25,,,pbp
10:32.0,,,30-25,,G. Vincent misses 3-pt jump shot from 26 ft,pbp
10:30.0,,,30-25,,Offensive rebound by A. Reaves,pbp
10:21.0,,,30-25,,J. Vanderbilt misses 3-pt jump shot from 23 ft,pbp
10:20.0,Defensive rebound by D. Green,,30-25,,,pbp
10:16.0,J. Butler misses 2-pt layup from 3 ft,,30-25,,,pbp
10:15.0,,,30-25,,Defensive rebound by J. Vanderbilt,pbp
10:04.0,,,30-25,,Turnover by J. Vanderbilt (out of bounds lost ball),pbp
10:04.0,,,30-25,,Technical foul by J. Vanderbilt,pbp
10:04.0,J. Butler makes technical free throw,+1,31-25,,,pbp
9:53.0,D. Green makes 2-pt dunk from 4 ft,+2,33-25,,,pbp
9:33.0,,,33-27,+2,A. Reaves makes 2-pt jump shot from 12 ft,pbp
9:11.0,J. Butler makes 2-pt jump shot from 14 ft (assist by D. Green),+2,35-27,,,pbp
8:58.0,,,35-29,+2,A. Reaves makes 2-pt jump shot from 12 ft,pbp
8:51.0,Offensive foul by D. Green (drawn by A. Reaves),,35-29,,,pbp
8:51.0,Turnover by D. Green (offensive foul),,35-29,,,pbp
8:51.0,,,35-29,,L. Dončić enters the game for J. LaRavia,pbp
8:51.0,,,35-29,,R. Hachimura enters the game for J. Vanderbilt,pbp
8:38.0,,,35-29,,Offensive foul by J. Hayes (drawn by Q. Post),pbp
8:38.0,,,35-29,,Turnover by J. Hayes (offensive foul),pbp
8:38.0,,,35-29,,D. Ayton enters the game for J. Hayes,pbp
8:25.0,Personal foul by A. Reaves (drawn by J. Butler),,35-29,,,pbp
8:13.0,B. Podziemski misses 3-pt jump shot from 24 ft,,35-29,,,pbp
8:10.0,Offensive rebound by D. Green,,35-29,,,pbp
8:07.0,Turnover by B. Hield (step out of bounds),,35-29,,,pbp
8:07.0,S. Curry enters the game for B. Podziemski,,35-29,,,pbp
7:49.0,,,35-31,+2,L. Dončić makes 2-pt jump shot from 15 ft,pbp
7:36.0,Shooting foul by D. Ayton (drawn by S. Curry),,35-31,,,pbp
7:36.0,S. Curry makes free throw 1 of 2,+1,36-31,,,pbp
7:36.0,A. Horford enters the game for J. Butler,,36-31,,,pbp
7:36.0,J. Kuminga enters the game for B. Hield,,36-31,,,pbp
7:36.0,W. Richard enters the game for Q. Post,,36-31,,,pbp
7:36.0,S. Curry makes free throw 2 of 2,+1,37-31,,,pbp
7:14.0,,,37-31,,R. Hachimura misses 3-pt jump shot from 26 ft,pbp
7:11.0,Defensive rebound by A. Horford,,37-31,,,pbp
6:57.0,,,37-31,,LA Lakers full timeout,pbp
6:57.0,G. Payton enters the game for D. Green,,37-31,,,pbp
6:57.0,,,37-31,,M. Smart enters the game for A. Reaves,pbp
