Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Stephen Curry,36:03,.830,.788,.654,.308,0.0,15.2,6.2,15.9,2.7,0.0,9.2,38.3,152,111,25.7
Jimmy Butler,34:39,.599,.500,.071,.571,10.9,15.8,12.9,4.9,2.9,0.0,5.4,22.7,132,111,2.5
Draymond Green,33:07,.250,.250,.333,.000,11.4,16.6,13.5,34.5,0.0,9.3,25.0,20.5,81,113,-5.5
Moses Moody,29:39,.250,.250,.500,.000,3.2,9.3,5.6,4.7,0.0,0.0,20.0,14.3,56,119,-13.9
Will Richard,15:55,.714,.714,.714,.000,0.0,8.6,3.5,0.0,6.2,6.4,0.0,18.7,145,102,10.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandin Podziemski,29:57,.563,.563,.750,.250,0.0,13.7,5.6,14.5,0.0,3.4,0.0,12.6,135,116,2.2
Al Horford,23:33,.000,.000,.500,.000,8.0,5.8,7.1,0.0,4.2,8.7,0.0,7.2,37,107,-4.5
Gary Payton II,15:37,.429,.429,.571,.000,12.1,8.8,10.7,19.3,3.2,0.0,22.2,24.5,91,112,-2.0
Buddy Hield,14:15,.000,.000,.000,.000,6.6,28.9,15.7,8.9,0.0,0.0,50.0,6.0,55,114,-9.6
Quinten Post,7:15,.500,.500,.667,.000,13.0,18.9,15.4,0.0,0.0,14.1,25.0,23.5,87,110,-1.7
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jonathan Kuminga,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Gui Santos,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.557,.517,.500,.200,29.4,68.6,45.3,47.4,9.3,17.0,13.3,100.0,112.4,111.4,
