Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,39:34,.579,.545,.182,.227,2.8,23.6,12.1,42.2,1.3,0.0,0.0,27.4,136,114,10.2
Nickeil Alexander-Walker,38:34,.586,.559,.412,.353,5.7,10.4,7.8,14.2,1.3,3.0,4.8,24.0,122,116,-0.1
Dyson Daniels,35:40,.631,.618,.235,.059,12.2,18.7,15.1,25.6,2.8,0.0,10.3,24.4,128,112,3.6
Onyeka Okongwu,34:48,.530,.500,.389,.111,0.0,26.8,12.1,12.2,0.0,0.0,5.0,25.6,107,116,-5.1
Zaccharie Risacher,21:36,.500,.500,.600,.000,10.1,0.0,5.6,16.4,0.0,5.3,0.0,10.4,135,120,0.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Vit Krejci,32:18,.266,.000,1.000,2.000,3.4,8.3,5.6,13.2,0.0,0.0,34.7,4.0,104,121,-10.9
Mouhamed Gueye,17:08,.400,.400,.200,.000,0.0,7.8,3.5,7.1,0.0,13.3,0.0,13.1,91,114,-6.1
Keaton Wallace,15:52,.833,.833,.667,.000,0.0,8.4,3.8,0.0,6.3,7.2,25.0,22.6,99,102,3.6
Asa Newell,4:30,,,,,0.0,29.6,13.3,0.0,0.0,0.0,,0.0,0,115,-17.3
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luke Kennard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Jacob Toppin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.576,.555,.341,.176,22.7,75.0,46.3,71.1,6.2,11.9,8.4,100.0,117.3,114.2,
