1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
Time,Houston,,Score,,Oklahoma City
12:00.0,Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession)
8:20.0,A. Thompson misses 3-pt jump shot from 23 ft,,7-9,,
8:18.0,Offensive rebound by S. Adams,,7-9,,
8:17.0,A. Thompson makes 2-pt jump shot from 4 ft (assist by S. Adams),+2,9-9,,
8:17.0,Shooting foul by C. Wallace (drawn by A. Thompson),,9-9,,
8:17.0,A. Thompson makes free throw 1 of 1,+1,10-9,,
8:07.0,,,10-9,,Turnover by C. Holmgren (lost ball; steal by A. Şengün)
8:03.0,J. Smith misses 3-pt jump shot from 26 ft,,10-9,,
8:00.0,,,10-9,,Defensive rebound by I. Hartenstein
7:49.0,,,10-9,,I. Hartenstein misses 2-pt jump shot from 11 ft
7:47.0,,,10-9,,Offensive rebound by I. Hartenstein
7:45.0,,,10-9,,I. Hartenstein misses 2-pt jump shot from 8 ft
7:44.0,,,10-9,,Offensive rebound by Team
7:42.0,,,10-11,+2,C. Holmgren makes 2-pt jump shot from 23 ft (assist by L. Dort)
7:26.0,A. Thompson makes 2-pt jump shot from 23 ft,+2,12-11,,
7:10.0,,,12-13,+2,C. Holmgren makes 2-pt jump shot from 14 ft (assist by S. Gilgeous-Alexander)
7:10.0,Houston full timeout,,12-13,,
7:10.0,Instant Replay,,12-13,,
6:52.0,A. Şengün makes 2-pt layup from 1 ft,+2,14-13,,
6:40.0,,,14-13,,Shooting foul by J. Smith (drawn by C. Holmgren)
6:40.0,,,14-14,+1,C. Holmgren makes free throw 1 of 2
6:40.0,T. Eason enters the game for J. Smith,,14-14,,
6:40.0,,,14-15,+1,C. Holmgren makes free throw 2 of 2
6:29.0,A. Thompson makes 2-pt jump shot from 13 ft,+2,16-15,,
6:29.0,Shooting foul by I. Hartenstein (drawn by A. Thompson),,16-15,,
6:29.0,A. Thompson makes free throw 1 of 1,+1,17-15,,
6:16.0,,,17-15,,L. Dort misses 3-pt jump shot from 27 ft
6:15.0,Defensive rebound by Team,,17-15,,
6:15.0,,,17-15,,Loose ball foul by I. Hartenstein (drawn by S. Adams)
6:15.0,,,17-15,,J. Williams enters the game for I. Hartenstein
5:56.0,K. Durant makes 2-pt jump shot from 5 ft,+2,19-15,,
5:43.0,,,19-17,+2,J. Williams makes 2-pt jump shot from 17 ft (assist by C. Wallace)
5:31.0,A. Thompson makes 2-pt layup from 1 ft (assist by A. Şengün),+2,21-17,,
5:31.0,,,21-17,,Oklahoma City full timeout
5:31.0,R. Sheppard enters the game for A. Şengün,,21-17,,
5:15.0,,,21-17,,Shooting foul by K. Durant (drawn by L. Dort)
5:15.0,,,21-18,+1,L. Dort makes free throw 1 of 2
5:15.0,,,21-19,+1,L. Dort makes free throw 2 of 2
4:53.0,K. Durant misses 3-pt jump shot from 25 ft,,21-19,,
4:47.0,,,21-19,,Defensive rebound by C. Wallace
4:39.0,,,21-21,+2,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by J. Williams)
4:25.0,K. Durant misses 2-pt jump shot from 11 ft,,21-21,,
4:23.0,,,21-21,,Defensive rebound by L. Dort
4:17.0,,,21-23,+2,L. Dort makes 2-pt layup from 1 ft
4:08.0,Personal foul by J. Williams (drawn by S. Adams),,21-23,,
4:08.0,C. Capela enters the game for S. Adams,,21-23,,
4:03.0,Personal foul by L. Dort (drawn by K. Durant),,21-23,,
4:03.0,K. Durant makes free throw 1 of 2,+1,22-23,,
4:03.0,,,22-23,,A. Wiggins enters the game for C. Wallace
4:03.0,K. Durant makes free throw 2 of 2,+1,23-23,,
3:43.0,,,23-23,,A. Wiggins misses 3-pt jump shot from 22 ft
3:39.0,Defensive rebound by K. Durant,,23-23,,
3:33.0,Turnover by A. Thompson (bad pass),,23-23,,
3:26.0,,,23-23,,Oklahoma City full timeout
3:26.0,,,23-23,,Instant Replay (Challenge: Ruling Stands)
3:26.0,,,23-23,,Shooting foul by R. Sheppard (drawn by S. Gilgeous-Alexander)
3:26.0,,,23-24,+1,S. Gilgeous-Alexander makes free throw 1 of 2
3:26.0,A. Şengün enters the game for A. Thompson,,23-24,,
3:26.0,,,23-24,,A. Caruso enters the game for C. Holmgren
3:26.0,,,23-24,,S. Gilgeous-Alexander misses free throw 2 of 2
3:24.0,Defensive rebound by T. Eason,,23-24,,
3:00.0,K. Durant makes 2-pt jump shot from 16 ft (assist by A. Şengün),+2,25-24,,
2:47.0,,,25-24,,J. Williams misses 3-pt jump shot from 26 ft
2:43.0,Defensive rebound by T. Eason,,25-24,,
2:21.0,Turnover by Team (shot clock),,25-24,,
2:21.0,,,25-24,,B. Barnhizer enters the game for L. Dort
2:10.0,,,25-24,,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft
2:07.0,Defensive rebound by A. Şengün,,25-24,,
2:00.0,Turnover by K. Durant (lost ball; steal by J. Williams),,25-24,,
1:54.0,,,25-27,+3,A. Wiggins makes 3-pt jump shot from 26 ft (assist by A. Caruso)
1:37.0,R. Sheppard makes 3-pt jump shot from 29 ft (assist by A. Şengün),+3,28-27,,
1:23.0,,,28-27,,A. Caruso misses 3-pt jump shot from 25 ft
1:21.0,Defensive rebound by T. Eason,,28-27,,
1:02.0,C. Capela makes 2-pt hook shot from 3 ft (assist by A. Şengün),+2,30-27,,
0:49.0,,,30-27,,Turnover by S. Gilgeous-Alexander (lost ball; steal by R. Sheppard)
