1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
Time,Houston,,Score,,Oklahoma City
12:00.0,Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession)
0:43.0,A. Şengün makes free throw 2 of 2,+1,79-75,,
0:34.0,,,79-75,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by A. Thompson)
0:31.0,Defensive rebound by K. Durant,,79-75,,
0:14.0,Turnover by T. Eason (bad pass; steal by A. Caruso),,79-75,,
0:01.0,,,79-75,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft
0:01.0,,,79-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q
Time,Houston,,Score,,Oklahoma City
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter
11:38.0,R. Sheppard misses 3-pt jump shot from 23 ft,,79-75,,
11:34.0,,,79-75,,Defensive rebound by A. Caruso
11:31.0,,,79-77,+2,A. Mitchell makes 2-pt dunk from 2 ft (assist by A. Caruso)
11:23.0,A. Şengün makes 3-pt jump shot from 28 ft (assist by R. Sheppard),+3,82-77,,
11:03.0,,,82-79,+2,A. Mitchell makes 2-pt jump shot from 4 ft (assist by C. Holmgren)
10:42.0,J. Okogie misses 3-pt jump shot from 23 ft,,82-79,,
10:40.0,,,82-79,,Defensive rebound by A. Mitchell
10:32.0,,,82-79,,A. Wiggins misses 3-pt jump shot from 25 ft
10:28.0,Defensive rebound by A. Şengün,,82-79,,
10:07.0,J. Smith makes 2-pt jump shot from 19 ft (assist by R. Sheppard),+2,84-79,,
9:51.0,,,84-79,,A. Caruso misses 3-pt jump shot from 25 ft
9:50.0,Defensive rebound by Team,,84-79,,
9:36.0,R. Sheppard misses 2-pt jump shot from 14 ft,,84-79,,
9:32.0,,,84-79,,Defensive rebound by C. Holmgren
9:21.0,,,84-81,+2,C. Holmgren makes 2-pt dunk from 1 ft (assist by I. Hartenstein)
9:07.0,A. Şengün makes 3-pt jump shot from 25 ft (assist by R. Sheppard),+3,87-81,,
8:50.0,,,87-83,+2,I. Hartenstein makes 2-pt jump shot from 13 ft (assist by A. Wiggins)
8:30.0,Offensive foul by A. Şengün (drawn by I. Hartenstein),,87-83,,
8:30.0,Turnover by A. Şengün (offensive foul),,87-83,,
8:30.0,,,87-83,,C. Wallace enters the game for A. Wiggins
8:10.0,,,87-83,,Shooting foul by S. Adams (drawn by I. Hartenstein)
8:10.0,,,87-84,+1,I. Hartenstein makes free throw 1 of 2
8:10.0,A. Thompson enters the game for S. Adams,,87-84,,
8:10.0,,,87-85,+1,I. Hartenstein makes free throw 2 of 2
7:56.0,J. Okogie misses 3-pt jump shot from 23 ft,,87-85,,
7:53.0,,,87-85,,Defensive rebound by C. Wallace
7:46.0,,,87-85,,Turnover by C. Wallace (bad pass)
7:29.0,A. Şengün makes 2-pt jump shot from 20 ft,+2,89-85,,
7:29.0,Shooting foul by C. Holmgren (drawn by A. Şengün),,89-85,,
7:29.0,T. Eason enters the game for R. Sheppard,,89-85,,
7:29.0,,,89-85,,S. Gilgeous-Alexander enters the game for C. Holmgren
7:29.0,A. Şengün makes free throw 1 of 1,+1,90-85,,
7:07.0,,,90-85,,A. Mitchell misses 3-pt jump shot from 23 ft
7:06.0,Defensive rebound by Team,,90-85,,
7:06.0,,,90-85,,Loose ball foul by I. Hartenstein (drawn by A. Thompson)
6:49.0,Shooting foul by A. Caruso (drawn by J. Okogie),,90-85,,
6:49.0,,,90-85,,Oklahoma City full timeout
6:49.0,,,90-85,,L. Dort enters the game for A. Caruso
6:49.0,,,90-85,,A. Wiggins enters the game for A. Mitchell
6:49.0,J. Okogie misses free throw 1 of 2,,90-85,,
6:49.0,Offensive rebound by Team,,90-85,,
6:49.0,J. Okogie makes free throw 2 of 2,+1,91-85,,
6:33.0,,,91-85,,L. Dort misses 3-pt jump shot from 25 ft
6:30.0,Defensive rebound by A. Thompson,,91-85,,
6:15.0,A. Şengün misses 2-pt jump shot from 18 ft,,91-85,,
6:12.0,,,91-85,,Defensive rebound by S. Gilgeous-Alexander
6:04.0,,,91-87,+2,S. Gilgeous-Alexander makes 2-pt layup from 2 ft
5:49.0,J. Smith makes 2-pt layup from 2 ft (assist by A. Şengün),+2,93-87,,
5:27.0,,,93-87,,L. Dort misses 3-pt jump shot from 23 ft
5:21.0,Defensive rebound by T. Eason,,93-87,,
5:04.0,A. Şengün misses 3-pt jump shot from 28 ft,,93-87,,
5:01.0,,,93-87,,Defensive rebound by S. Gilgeous-Alexander
4:55.0,,,93-87,,Shooting foul by A. Şengün (drawn by S. Gilgeous-Alexander)
4:55.0,,,93-88,+1,S. Gilgeous-Alexander makes free throw 1 of 2
4:55.0,K. Durant enters the game for T. Eason,,93-88,,
4:55.0,,,93-89,+1,S. Gilgeous-Alexander makes free throw 2 of 2
4:37.0,J. Smith misses 3-pt jump shot from 26 ft,,93-89,,
4:35.0,Offensive rebound by A. Thompson,,93-89,,
4:32.0,K. Durant makes 2-pt jump shot from 20 ft (assist by A. Thompson),+2,95-89,,
4:20.0,,,95-91,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft (assist by C. Wallace)
4:00.0,A. Thompson makes 2-pt jump shot from 6 ft,+2,97-91,,
3:52.0,,,97-91,,Shooting foul by A. Thompson (drawn by S. Gilgeous-Alexander)
3:52.0,,,97-92,+1,S. Gilgeous-Alexander makes free throw 1 of 2
3:52.0,,,97-92,,C. Holmgren enters the game for A. Wiggins
3:52.0,,,97-93,+1,S. Gilgeous-Alexander makes free throw 2 of 2
3:36.0,Turnover by K. Durant (bad pass; steal by C. Wallace),,97-93,,
3:20.0,,,97-93,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft
3:17.0,,,97-93,,Offensive rebound by I. Hartenstein
3:17.0,,,97-95,+2,I. Hartenstein makes 2-pt layup at rim
3:07.0,Houston full timeout,,97-95,,
3:07.0,S. Adams enters the game for J. Okogie,,97-95,,
3:07.0,,,97-95,,A. Caruso enters the game for I. Hartenstein
2:58.0,A. Thompson makes 2-pt layup from 3 ft,+2,99-95,,
2:33.0,,,99-97,+2,C. Holmgren makes 2-pt jump shot from 4 ft (assist by L. Dort)
2:10.0,A. Thompson makes 2-pt layup from 3 ft,+2,101-97,,
2:01.0,,,101-100,+3,C. Wallace makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander)
1:47.0,Turnover by A. Thompson (lost ball; steal by S. Gilgeous-Alexander),,101-100,,
1:43.0,Houston full timeout,,101-100,,
1:43.0,Instant Replay (Challenge: Ruling Stands),,101-100,,
1:34.0,,,101-102,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 19 ft
1:14.0,A. Thompson misses 2-pt jump shot from 7 ft,,101-102,,
1:10.0,,,101-102,,Defensive rebound by S. Gilgeous-Alexander
0:55.0,,,101-102,,L. Dort misses 3-pt jump shot from 26 ft
0:53.0,Defensive rebound by Team,,101-102,,
0:53.0,,,101-102,,Loose ball foul by C. Holmgren (drawn by J. Smith)
0:53.0,,,101-102,,Oklahoma City full timeout
0:53.0,,,101-102,,Instant Replay (Challenge: Ruling Stands)
0:38.0,A. Şengün makes 2-pt hook shot from 6 ft,+2,103-102,,
0:33.0,,,103-102,,C. Wallace misses 3-pt jump shot from 25 ft
0:29.0,Defensive rebound by S. Adams,,103-102,,
0:09.0,Shooting foul by L. Dort (drawn by K. Durant),,103-102,,
0:09.0,K. Durant misses free throw 1 of 2,,103-102,,
0:09.0,Offensive rebound by Team,,103-102,,
0:09.0,T. Eason enters the game for S. Adams,,103-102,,
0:09.0,J. Okogie enters the game for A. Şengün,,103-102,,
0:09.0,,,103-102,,I. Hartenstein enters the game for A. Caruso
0:09.0,K. Durant makes free throw 2 of 2,+1,104-102,,
0:02.0,,,104-104,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft
0:02.0,Houston full timeout,,104-104,,
0:02.0,A. Şengün enters the game for T. Eason,,104-104,,
0:02.0,R. Sheppard enters the game for J. Okogie,,104-104,,
0:02.0,,,104-104,,A. Caruso enters the game for I. Hartenstein
0:00.0,A. Şengün misses 2-pt jump shot from 13 ft,,104-104,,
0:00.0,Offensive rebound by Team,,104-104,,
0:00.0,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter
1st OT,1st OT,1st OT,1st OT,1st OT,1st OT
Time,Houston,,Score,,Oklahoma City
5:00.0,Start of 1st overtime,Start of 1st overtime,Start of 1st overtime,Start of 1st overtime,Start of 1st overtime
5:00.0,Jump ball: S. Adams vs. C. Holmgren (J. Smith gains possession),Jump ball: S. Adams vs. C. Holmgren (J. Smith gains possession),Jump ball: S. Adams vs. C. Holmgren (J. Smith gains possession),Jump ball: S. Adams vs. C. Holmgren (J. Smith gains possession),Jump ball: S. Adams vs. C. Holmgren (J. Smith gains possession)
4:45.0,A. Thompson misses 3-pt jump shot from 23 ft,,104-104,,
4:44.0,Offensive rebound by Team,,104-104,,
4:44.0,,,104-104,,Loose ball foul by S. Gilgeous-Alexander (drawn by J. Smith)
4:38.0,Turnover by K. Durant (back court),,104-104,,
4:27.0,,,104-104,,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft
4:25.0,,,104-104,,Offensive rebound by Team
4:25.0,Loose ball foul by K. Durant (drawn by C. Wallace),,104-104,,
4:15.0,,,104-107,+3,C. Holmgren makes 3-pt jump shot from 23 ft (assist by L. Dort)
3:56.0,J. Smith misses 2-pt jump shot from 15 ft,,104-107,,
3:53.0,,,104-107,,Defensive rebound by L. Dort
3:46.0,,,104-107,,Oklahoma City full timeout
3:46.0,J. Okogie enters the game for S. Adams,,104-107,,
3:43.0,,,104-107,,Personal foul by A. Şengün (drawn by I. Hartenstein)
3:36.0,,,104-110,+3,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft
3:14.0,A. Şengün makes 2-pt hook shot from 7 ft,+2,106-110,,
2:58.0,Violation by Team (kicked ball),,106-110,,
2:58.0,Houston full timeout,,106-110,,
2:58.0,R. Sheppard enters the game for A. Thompson,,106-110,,
2:46.0,,,106-112,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft
2:30.0,Shooting foul by C. Wallace (drawn by R. Sheppard),,106-112,,
2:30.0,R. Sheppard makes free throw 1 of 2,+1,107-112,,
2:30.0,R. Sheppard misses free throw 2 of 2,,107-112,,
2:27.0,,,107-112,,Defensive rebound by S. Gilgeous-Alexander
2:16.0,,,107-112,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft
2:15.0,Defensive rebound by K. Durant,,107-112,,
2:00.0,J. Smith makes 3-pt jump shot from 23 ft (assist by K. Durant),+3,110-112,,
1:37.0,,,110-112,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft
1:34.0,Defensive rebound by J. Smith,,110-112,,
1:25.0,Shooting foul by C. Holmgren (drawn by A. Şengün),,110-112,,
1:25.0,A. Şengün misses free throw 1 of 2,,110-112,,
1:25.0,Offensive rebound by Team,,110-112,,
1:25.0,A. Şengün makes free throw 2 of 2,+1,111-112,,
1:11.0,,,111-115,+3,C. Holmgren makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander)
1:02.0,Turnover by A. Şengün (bad pass; steal by S. Gilgeous-Alexander),,111-115,,
0:52.0,,,111-115,,L. Dort misses 3-pt jump shot from 23 ft
0:50.0,,,111-115,,Offensive rebound by C. Holmgren
0:49.0,,,111-115,,C. Holmgren misses 2-pt dunk from 1 ft (block by J. Okogie)
0:49.0,Defensive rebound by J. Okogie,,111-115,,
0:48.0,Personal foul by C. Holmgren (drawn by J. Okogie),,111-115,,
0:48.0,,,111-115,,A. Caruso enters the game for C. Holmgren
0:48.0,J. Okogie makes free throw 1 of 2,+1,112-115,,
0:48.0,J. Okogie makes free throw 2 of 2,+1,113-115,,
0:24.0,,,113-115,,A. Caruso misses 2-pt dunk from 1 ft (block by A. Şengün)
0:21.0,Defensive rebound by J. Smith,,113-115,,
0:16.0,Houston full timeout,,113-115,,
0:16.0,S. Adams enters the game for J. Okogie,,113-115,,
0:09.0,A. Şengün misses 2-pt jump shot from 9 ft,,113-115,,
0:08.0,Offensive rebound by A. Şengün,,113-115,,
0:08.0,A. Şengün makes 2-pt dunk from 1 ft,+2,115-115,,
0:08.0,,,115-115,,Oklahoma City full timeout
0:08.0,T. Eason enters the game for A. Şengün,,115-115,,
0:08.0,J. Okogie enters the game for R. Sheppard,,115-115,,
0:04.0,,,115-115,,Personal foul by J. Okogie (drawn by S. Gilgeous-Alexander)
0:04.0,A. Şengün enters the game for S. Adams,,115-115,,
0:02.0,,,115-115,,S. Gilgeous-Alexander misses 2-pt jump shot from 18 ft (block by T. Eason)
0:02.0,Defensive rebound by K. Durant,,115-115,,
0:00.0,End of 1st overtime,End of 1st overtime,End of 1st overtime,End of 1st overtime,End of 1st overtime
2nd OT,2nd OT,2nd OT,2nd OT,2nd OT,2nd OT
Time,Houston,,Score,,Oklahoma City
5:00.0,Start of 2nd overtime,Start of 2nd overtime,Start of 2nd overtime,Start of 2nd overtime,Start of 2nd overtime
5:00.0,Jump ball: S. Adams vs. I. Hartenstein (J. Smith gains possession),Jump ball: S. Adams vs. I. Hartenstein (J. Smith gains possession),Jump ball: S. Adams vs. I. Hartenstein (J. Smith gains possession),Jump ball: S. Adams vs. I. Hartenstein (J. Smith gains possession),Jump ball: S. Adams vs. I. Hartenstein (J. Smith gains possession)
4:39.0,R. Sheppard misses 3-pt jump shot from 28 ft,,115-115,,
4:36.0,,,115-115,,Defensive rebound by L. Dort
4:28.0,,,115-115,,Personal foul by S. Adams (drawn by S. Gilgeous-Alexander)
4:20.0,,,115-115,,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft
4:17.0,Defensive rebound by A. Şengün,,115-115,,
4:00.0,Turnover by S. Adams (out of bounds lost ball),,115-115,,
3:49.0,,,115-115,,Turnover by C. Wallace (out of bounds lost ball)
3:41.0,Shooting foul by I. Hartenstein (drawn by A. Şengün),,115-115,,
3:41.0,A. Şengün makes free throw 1 of 2,+1,116-115,,
3:41.0,A. Şengün makes free throw 2 of 2,+1,117-115,,
3:33.0,,,117-115,,Shooting foul by J. Smith (drawn by S. Gilgeous-Alexander)
3:33.0,,,117-115,,S. Gilgeous-Alexander misses free throw 1 of 2
3:33.0,,,117-115,,Offensive rebound by Team
3:33.0,,,117-116,+1,S. Gilgeous-Alexander makes free throw 2 of 2
3:18.0,R. Sheppard misses 2-pt jump shot from 8 ft,,117-116,,
3:17.0,,,117-116,,Defensive rebound by C. Wallace
3:12.0,,,117-116,,A. Caruso misses 3-pt jump shot from 23 ft
3:10.0,,,117-116,,Offensive rebound by Team
3:10.0,Loose ball foul by K. Durant (drawn by L. Dort),,117-116,,
2:57.0,,,117-116,,A. Caruso misses 2-pt jump shot from 9 ft
2:54.0,,,117-116,,Offensive rebound by I. Hartenstein
2:47.0,,,117-116,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft
2:45.0,Defensive rebound by A. Şengün,,117-116,,
2:28.0,J. Smith makes 2-pt jump shot from 6 ft (assist by S. Adams),+2,119-116,,
2:19.0,,,119-116,,Shooting foul by K. Durant (drawn by S. Gilgeous-Alexander)
2:19.0,,,119-117,+1,S. Gilgeous-Alexander makes free throw 1 of 2
2:19.0,,,119-117,,S. Gilgeous-Alexander misses free throw 2 of 2
2:17.0,Defensive rebound by A. Şengün,,119-117,,
1:55.0,A. Şengün misses 2-pt jump shot from 9 ft (block by A. Caruso),,119-117,,
1:54.0,Offensive rebound by Team,,119-117,,
1:54.0,J. Smith misses 2-pt layup from 9 ft (block by S. Gilgeous-Alexander),,119-117,,
1:54.0,Offensive rebound by Team,,119-117,,
1:54.0,Turnover by Team (shot clock),,119-117,,
1:45.0,,,119-117,,A. Caruso misses 3-pt jump shot from 25 ft
1:42.0,,,119-117,,Offensive rebound by C. Wallace
1:32.0,,,119-120,+3,C. Wallace makes 3-pt jump shot from 25 ft (assist by A. Caruso)
1:15.0,K. Durant makes 2-pt layup from 5 ft,+2,121-120,,
1:15.0,Shooting foul by I. Hartenstein (drawn by K. Durant),,121-120,,
1:15.0,,,121-120,,J. Williams enters the game for I. Hartenstein
1:15.0,K. Durant makes free throw 1 of 1,+1,122-120,,
0:59.0,,,122-122,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 19 ft
0:40.0,Turnover by R. Sheppard (bad pass; steal by L. Dort),,122-122,,
0:32.0,,,122-122,,Personal foul by S. Adams (drawn by S. Gilgeous-Alexander)
0:32.0,,,122-122,,S. Gilgeous-Alexander misses free throw 1 of 2
0:32.0,,,122-122,,Offensive rebound by Team
0:32.0,T. Eason enters the game for R. Sheppard,,122-122,,
0:32.0,,,122-123,+1,S. Gilgeous-Alexander makes free throw 2 of 2
0:32.0,Houston full timeout,,122-123,,
0:24.0,K. Durant misses 3-pt jump shot from 26 ft,,122-123,,
0:22.0,Offensive rebound by J. Smith,,122-123,,
0:11.0,A. Şengün makes 2-pt layup from 2 ft (assist by K. Durant),+2,124-123,,
0:11.0,,,124-123,,Oklahoma City full timeout
0:11.0,J. Okogie enters the game for S. Adams,,124-123,,
0:02.0,,,124-123,,Shooting foul by K. Durant (drawn by S. Gilgeous-Alexander)
0:02.0,S. Adams enters the game for K. Durant,,124-123,,
0:02.0,,,124-124,+1,S. Gilgeous-Alexander makes free throw 1 of 2
0:02.0,,,124-125,+1,S. Gilgeous-Alexander makes free throw 2 of 2
0:02.0,Houston full timeout,,124-125,,
0:02.0,R. Sheppard enters the game for J. Okogie,,124-125,,
0:00.0,J. Smith misses 2-pt jump shot from 20 ft,,124-125,,
0:00.0,Offensive rebound by Team,,124-125,,
0:00.0,End of 2nd overtime,End of 2nd overtime,End of 2nd overtime,End of 2nd overtime,End of 2nd overtime
