Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,31:43,.830,.750,.071,.857,17.6,24.8,21.6,70.9,1.5,0.0,29.3,34.1,134,95,21.5
Cameron Johnson,27:15,.505,.455,.273,.182,0.0,6.4,3.6,19.5,3.5,0.0,0.0,17.3,126,100,1.8
Peyton Watson,27:13,.595,.577,.308,.077,16.4,9.6,12.6,5.4,5.2,0.0,6.9,21.0,126,94,4.4
Christian Braun,26:58,.429,.375,.250,.375,8.3,9.7,9.1,9.0,1.8,0.0,17.7,16.6,92,102,-6.4
Jalen Pickett,17:32,.250,.250,.250,.000,0.0,5.0,2.8,0.0,0.0,0.0,20.0,11.3,45,108,-16.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bruce Brown,23:46,.429,.429,.143,.000,4.7,22.0,14.4,0.0,2.0,0.0,12.5,13.3,85,95,-7.9
Tim Hardaway Jr.,23:38,.654,.654,.692,.000,0.0,11.1,6.2,24.8,0.0,0.0,7.1,23.5,132,105,6.8
Julian Strawther,21:37,.530,.500,.300,.300,0.0,24.2,13.6,13.1,0.0,0.0,0.0,20.8,122,99,-2.5
Spencer Jones,19:55,.615,.625,.500,.500,5.6,0.0,2.5,12.0,0.0,4.2,0.0,9.7,146,108,2.6
Jonas Valančiūnas,13:55,.500,.500,.000,.000,8.0,25.1,17.6,29.9,0.0,6.1,14.3,19.9,110,95,2.9
Zeke Nnaji,3:14,.000,.000,1.000,.000,0.0,27.0,15.1,0.0,0.0,0.0,50.0,24.5,0,96,-42.3
Hunter Tyson,3:14,.000,.000,.000,.000,34.5,54.0,45.4,0.0,0.0,0.0,0.0,24.5,39,85,-23.6
Team Totals,240,.567,.527,.290,.247,34.9,72.7,56.1,71.1,7.9,3.5,14.9,100.0,115.6,98.8,
