Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,37:13,.670,.638,.310,.241,0.0,18.0,9.8,15.3,0.0,0.0,5.9,38.9,133,115,7.4
Nikola Jokić,36:08,.956,.900,.000,.700,22.1,40.2,31.9,39.0,2.6,2.5,18.7,18.9,175,104,21.2
Aaron Gordon,32:49,.398,.300,.200,.300,0.0,10.2,5.6,10.5,0.0,0.0,15.0,17.2,87,116,-9.5
Christian Braun,27:29,.389,.389,.333,.000,4.9,8.1,6.6,8.6,3.4,0.0,0.0,13.9,104,109,-1.1
Cameron Johnson,18:56,.500,.500,.600,.000,0.0,11.8,6.4,12.4,0.0,0.0,28.6,15.7,85,116,-9.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tim Hardaway Jr.,31:37,.842,.818,.545,.182,0.0,3.5,1.9,12.9,0.0,0.0,0.0,16.0,177,117,8.5
Peyton Watson,24:42,.872,.833,.333,.333,0.0,9.0,4.9,5.1,1.9,7.3,12.7,13.6,153,107,10.2
Bruce Brown,13:24,.250,.250,.000,.000,19.9,25.0,22.7,0.0,0.0,0.0,20.0,15.8,72,114,-14.5
Jonas Valančiūnas,10:18,.420,.333,.000,1.333,12.9,32.5,23.6,0.0,0.0,8.8,17.4,23.8,85,105,-12.7
DaRon Holmes,1:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-5.2
Zeke Nnaji,1:25,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0,118,-36.5
Jalen Pickett,1:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-5.3
Julian Strawther,1:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-3.7
Hunter Tyson,1:25,,,,,0.0,78.8,42.9,0.0,0.0,0.0,,0.0,0,105,2.8
Spencer Jones,0:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,-55.6
Team Totals,240,.641,.597,.295,.284,27.8,83.7,58.2,52.2,4.9,7.5,12.4,100.0,125.0,112.2,
