Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,38:13,.737,.605,.579,1.053,3.3,20.9,13.1,28.2,1.3,6.1,9.7,35.6,149,100,17.2
Jake LaRavia,36:32,.184,.100,.400,.200,6.9,10.9,9.2,3.6,2.8,0.0,8.4,14.4,60,103,-13.2
Austin Reaves,36:08,.682,.676,.529,.176,10.5,8.3,9.3,40.8,1.4,0.0,14.1,26.1,136,107,7.6
Deandre Ayton,28:26,.720,.692,.000,.154,8.9,28.1,19.6,0.0,3.6,4.1,17.8,26.3,117,92,0.1
Bronny James,9:54,.000,.000,1.000,.000,12.8,0.0,5.6,12.8,5.1,0.0,0.0,8.9,71,102,-3.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dalton Knecht,33:48,.563,.563,.500,.000,3.7,14.8,9.9,4.4,4.5,3.5,11.1,11.8,111,96,2.9
Maxi Kleber,25:01,1.500,1.500,1.000,.000,0.0,4.0,2.2,16.0,0.0,0.0,0.0,1.8,260,112,1.0
Jaxson Hayes,16:41,.868,.750,.000,1.000,0.0,36.0,20.1,9.8,6.1,0.0,25.8,20.6,130,85,8.3
Jarred Vanderbilt,7:43,,,,,0.0,13.0,7.2,16.4,0.0,0.0,100.0,11.5,28,109,-10.9
Adou Thiero,4:41,1.064,1.000,.000,2.000,27.0,0.0,11.9,0.0,0.0,0.0,0.0,17.8,230,115,15.3
Nick Smith Jr.,2:53,.750,.750,1.000,.000,0.0,0.0,0.0,78.0,17.6,0.0,0.0,30.7,173,73,46.3
Marcus Smart,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.650,.578,.429,.429,28.9,75.0,54.7,60.5,13.8,9.8,15.7,100.0,126.0,100.6,
