Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,30:33,.612,.500,.300,.700,3.1,8.7,5.4,14.7,1.7,0.0,0.0,18.1,144,139,1.0
Jonathan Kuminga,26:50,.300,.300,.200,.000,7.0,24.8,14.4,15.5,0.0,3.7,16.7,18.9,75,137,-10.9
Draymond Green,25:42,.708,.708,.833,.000,3.7,25.9,12.9,25.9,2.0,3.8,20.0,24.7,117,133,9.7
Brandin Podziemski,24:39,.350,.350,.400,.000,0.0,10.8,4.5,17.1,0.0,4.0,16.7,20.6,75,139,-11.0
Moses Moody,19:17,.111,.111,.667,.000,0.0,20.7,8.6,19.9,0.0,0.0,10.0,21.9,44,141,-20.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Pat Spencer,23:21,.425,.350,.400,.400,4.0,28.6,14.2,30.4,2.2,0.0,14.5,24.9,98,135,-4.7
Quinten Post,19:41,1.167,1.167,.333,.000,9.6,6.8,8.4,9.6,0.0,0.0,0.0,12.9,232,143,12.6
Buddy Hield,19:40,.571,.571,.429,.000,0.0,0.0,0.0,0.0,0.0,0.0,22.2,19.3,84,144,-12.5
Will Richard,18:53,.575,.550,.500,.100,10.0,7.1,8.8,18.6,0.0,0.0,0.0,23.4,134,143,1.5
Trayce Jackson-Davis,18:30,.533,.500,.000,.125,30.5,7.2,20.9,26.3,0.0,10.6,0.0,19.3,146,134,5.6
Gary Payton II,6:27,.500,.500,.500,.000,0.0,41.3,17.1,22.9,0.0,0.0,0.0,13.1,125,138,-0.5
Gui Santos,6:27,.266,.000,1.000,2.000,29.2,41.3,34.2,0.0,8.0,0.0,0.0,12.3,106,119,-2.2
Team Totals,240,.512,.484,.432,.158,33.3,80.6,52.9,70.0,4.3,10.2,10.6,100.0,111.3,138.0,
