Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Norman Powell,38:34,.656,.526,.474,.737,0.0,3.9,2.4,7.9,1.2,2.5,3.8,27.6,136,127,5.5
Davion Mitchell,38:12,.557,.500,.444,.222,0.0,4.0,2.4,27.4,1.2,0.0,33.6,15.9,93,127,-6.6
Andrew Wiggins,37:26,.735,.692,.385,.462,3.1,2.0,2.4,20.4,1.3,0.0,11.3,19.2,139,129,6.3
Kel'el Ware,33:38,.500,.500,.071,.000,24.0,29.3,27.2,4.5,1.4,2.9,0.0,17.0,128,109,1.3
Pelle Larsson,26:29,.536,.500,.250,.375,4.4,11.4,8.6,21.1,0.0,0.0,24.4,19.0,97,125,-6.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaime Jaquez Jr.,33:20,.709,.583,.083,.667,3.5,27.3,17.8,31.9,1.4,5.8,11.4,21.4,143,109,12.7
Nikola Jović,26:18,.368,.350,.500,.200,4.4,20.2,13.9,20.2,0.0,3.7,8.4,18.4,92,118,-5.0
Simone Fontecchio,16:15,.630,.611,.778,.333,7.1,14.0,11.2,0.0,0.0,5.9,0.0,25.9,129,121,6.5
Dru Smith,14:48,.564,.375,.500,.750,0.0,0.0,0.0,8.4,0.0,0.0,0.0,14.7,133,133,-4.4
Vladislav Goldin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kasparas Jakucionis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keshad Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.603,.531,.367,.418,26.1,62.9,48.3,69.6,4.4,10.9,10.8,100.0,123.6,121.9,
