Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,35:33,.494,.429,.500,.357,0.0,0.0,0.0,27.5,0.0,0.0,15.6,22.6,105,124,-7.8
Nikola Jokić,34:26,.664,.611,.222,.389,15.5,19.9,18.0,52.2,0.0,0.0,29.9,36.5,112,115,2.5
Peyton Watson,34:21,.823,.816,.474,.053,11.6,25.7,19.7,15.1,1.4,0.0,17.1,28.5,130,110,8.8
Cameron Johnson,32:28,.788,.813,.375,.250,0.0,9.1,5.2,19.9,1.4,0.0,18.4,14.0,132,117,3.0
Zeke Nnaji,26:36,.258,.000,.667,.667,0.0,14.7,8.5,0.0,3.5,2.8,0.0,6.1,64,109,-4.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bruce Brown,27:01,.685,.714,.143,.571,4.9,7.3,6.3,19.1,5.2,0.0,18.6,16.6,122,110,4.5
Tim Hardaway Jr.,23:04,.389,.389,.556,.000,0.0,4.2,2.4,5.2,0.0,0.0,0.0,16.3,88,122,-9.9
Jonas Valančiūnas,16:00,.916,.800,.000,1.200,8.3,36.7,24.7,0.0,0.0,0.0,0.0,20.0,195,109,7.2
Spencer Jones,10:31,,,,,0.0,0.0,0.0,19.8,4.4,0.0,,0.0,224,114,3.6
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Hunter Tyson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.659,.620,.373,.325,25.0,65.3,48.2,76.1,7.8,1.6,17.4,100.0,121.2,114.4,
