Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Myles Turner,29:03,.427,.417,.667,.167,3.4,21.8,13.0,19.0,0.0,8.9,7.2,20.1,99,110,-3.1
A.J. Green,27:12,.917,.917,.833,.000,0.0,10.0,5.2,4.1,0.0,0.0,0.0,9.3,169,120,-3.0
Giannis Antetokounmpo,26:45,.636,.635,.115,.269,7.3,40.6,24.6,42.1,0.0,0.0,6.4,48.8,122,110,8.6
Gary Trent Jr.,24:21,.708,.708,.917,.000,0.0,14.9,7.7,10.3,3.7,0.0,7.7,22.4,122,110,4.6
Kevin Porter Jr.,9:25,.850,.800,.600,.400,0.0,0.0,0.0,29.4,4.8,0.0,0.0,26.2,172,112,19.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ryan Rollins,29:29,.418,.278,.667,.444,6.6,6.1,6.4,10.4,3.1,0.0,15.7,18.2,94,114,-10.7
Kyle Kuzma,23:18,.551,.500,.200,.200,0.0,15.5,8.1,15.6,3.9,7.4,8.4,21.4,109,104,1.3
Taurean Prince,21:57,1.100,1.100,.800,.000,0.0,4.1,2.1,10.6,2.1,0.0,0.0,9.6,207,117,6.0
Bobby Portis,17:15,.167,.167,.000,.000,5.7,26.3,16.4,5.9,0.0,0.0,0.0,14.6,59,115,-15.6
Amir Coffey,12:31,1.000,1.000,.000,.000,0.0,0.0,0.0,16.6,0.0,0.0,0.0,3.4,217,123,-1.8
Cole Anthony,11:57,.900,.900,.400,.000,0.0,15.2,7.9,59.2,0.0,7.2,16.7,21.1,162,111,9.7
Thanasis Antetokounmpo,1:42,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0,123,-35.4
Gary Harris,1:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-11.2
Andre Jackson Jr.,1:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-11.3
Jericho Sims,1:42,1.136,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,250,123,13.3
Team Totals,240,.625,.602,.449,.194,12.2,75.5,45.1,62.0,7.5,10.7,7.0,100.0,125.3,113.1,
