Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Max Christie,37:21,.689,.650,.600,.200,0.0,16.1,9.1,4.5,1.3,0.0,21.6,15.4,104,111,-2.3
P.J. Washington,33:26,.218,.125,.417,.333,6.7,20.5,14.5,17.1,4.3,0.0,6.8,18.2,71,103,-4.9
Klay Thompson,26:32,.591,.591,.818,.000,0.0,6.5,3.7,13.9,0.0,0.0,0.0,17.1,124,118,0.8
Brandon Williams,20:25,.353,.227,.545,.364,5.5,4.2,4.7,31.0,2.3,0.0,19.0,31.9,79,113,-11.9
Dereck Lively II,17:42,.515,.333,.000,.667,31.5,24.2,27.4,8.4,0.0,16.0,20.5,11.4,131,103,3.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Naji Marshall,33:36,.817,.773,.455,.636,0.0,12.8,7.2,5.7,0.0,0.0,22.1,22.2,120,117,3.3
D'Angelo Russell,24:40,.724,.733,.467,.133,0.0,17.4,9.8,77.9,1.9,0.0,15.9,31.6,128,110,14.8
Daniel Gafford,24:36,.735,.667,.000,1.333,9.1,20.9,15.8,12.5,0.0,3.8,17.4,9.7,143,109,-0.1
Jaden Hardy,16:23,.491,.389,.667,.556,0.0,5.2,3.0,11.2,0.0,5.7,0.0,28.2,110,114,-2.9
Moussa Cisse,5:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.8,0,122,-14.2
Miles Kelly,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dwight Powell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.565,.506,.518,.353,23.3,71.4,50.5,65.7,5.9,9.8,15.5,100.0,109.5,111.5,
