Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Matas Buzelis,35:47,.720,.692,.462,.154,5.7,15.8,11.0,12.1,2.6,2.1,17.8,20.4,117,119,3.0
Josh Giddey,34:35,.508,.500,.357,.286,0.0,19.1,9.9,54.5,1.3,0.0,20.2,24.7,104,122,2.4
Nikola Vučević,31:12,.615,.615,.231,.000,0.0,18.1,9.4,4.6,1.5,0.0,13.3,20.8,96,122,-5.4
Tre Jones,29:22,.672,.600,.200,.600,7.0,9.6,8.3,19.1,1.6,0.0,0.0,18.6,149,124,2.1
Isaac Okoro,16:33,.500,.500,.333,.000,12.3,11.4,11.8,0.0,2.8,4.5,0.0,15.7,111,117,-4.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Patrick Williams,23:23,.500,.500,.667,.000,0.0,24.1,12.6,0.0,2.0,0.0,0.0,11.1,93,119,-5.3
Kevin Huerter,23:14,.468,.423,.385,.154,0.0,12.2,6.3,30.7,0.0,3.2,17.8,31.4,87,125,-7.7
Ayo Dosunmu,20:02,.583,.583,.500,.000,0.0,0.0,0.0,19.5,4.6,0.0,14.3,15.1,106,121,-1.0
Jalen Smith,16:48,.509,.500,.333,.333,12.2,16.8,14.6,24.2,0.0,0.0,12.7,20.3,111,125,-4.7
Dalen Terry,5:18,1.000,1.000,.000,.000,0.0,17.8,9.2,25.9,0.0,0.0,0.0,8.2,207,125,4.3
Julian Phillips,3:46,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,131,-31.1
Jevon Carter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Noa Essengue,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.567,.544,.367,.178,17.0,72.5,45.9,77.3,8.7,4.7,12.6,100.0,106.2,121.7,
