Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,39:06,.606,.528,.444,.333,0.0,31.7,13.3,34.3,3.7,2.4,16.2,26.9,118,115,8.0
Dyson Daniels,37:35,.667,.667,.000,.000,11.9,20.6,15.5,22.3,3.9,2.5,25.0,13.6,124,116,5.3
Nickeil Alexander-Walker,36:43,.530,.475,.450,.300,0.0,12.7,5.3,13.0,0.0,0.0,0.0,26.3,118,128,-5.3
Vit Krejci,36:06,.500,.500,.889,.000,0.0,12.9,5.4,7.0,0.0,0.0,18.2,13.0,87,128,-9.4
Onyeka Okongwu,33:35,.781,.769,.538,.077,0.0,4.6,1.9,14.0,1.4,5.5,27.1,23.4,105,121,0.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mouhamed Gueye,21:24,.550,.550,.500,.000,36.5,28.9,33.3,7.3,0.0,4.3,9.1,21.9,126,122,-1.2
Luke Kennard,17:05,.750,.750,1.000,.000,0.0,0.0,0.0,35.8,2.8,0.0,33.3,7.5,140,123,1.7
Keaton Wallace,13:08,.717,.750,1.000,.500,0.0,0.0,0.0,21.1,3.7,0.0,17.0,19.1,123,121,4.8
Caleb Houstan,3:23,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0,129,-38.8
Asa Newell,1:55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,-8.3
Zaccharie Risacher,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Jacob Toppin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.598,.569,.506,.172,25.6,77.4,47.3,73.8,9.1,9.6,16.9,100.0,113.1,121.2,
