Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,38:06,.701,.583,.222,.611,3.3,17.2,10.8,19.4,0.0,5.9,8.1,28.0,146,136,7.0
Franz Wagner,36:14,.729,.708,.333,.583,3.5,9.0,6.5,15.4,0.0,2.1,0.0,17.9,162,142,4.2
Desmond Bane,34:25,.671,.647,.412,.118,3.7,6.3,5.1,4.5,0.0,0.0,0.0,22.3,146,143,-3.3
Wendell Carter Jr.,33:57,.406,.409,.182,.273,14.9,19.3,17.2,7.2,1.4,4.4,14.0,18.1,97,133,-7.3
Jalen Suggs,20:32,.685,.643,.429,.571,12.3,21.3,17.1,39.3,0.0,0.0,31.3,26.7,116,139,-2.4
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Black,29:50,.535,.550,.300,.700,4.2,7.3,5.9,8.7,1.6,2.5,18.7,23.2,97,138,-7.3
Tristan Da Silva,14:54,.000,.000,.500,.000,0.0,14.6,7.9,7.2,0.0,0.0,0.0,5.8,40,141,-11.5
Goga Bitadze,14:03,.525,.667,.000,1.333,0.0,23.3,12.5,17.9,3.5,0.0,29.6,20.7,82,130,-6.3
Tyus Jones,10:19,1.000,1.000,.000,.000,24.5,10.6,17.0,23.1,4.7,0.0,0.0,4.2,209,132,13.1
Noah Penda,6:46,1.500,1.500,1.000,.000,18.7,16.1,17.3,18.7,0.0,0.0,0.0,6.3,253,140,9.9
Jase Richardson,0:55,,,,,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,218,146,26.4
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jonathan Isaac,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.628,.598,.305,.463,34.2,68.2,52.4,60.0,4.1,10.9,11.6,100.0,126.0,138.2,
