Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kris Dunn,30:09,.615,.625,.750,.500,0.0,19.9,9.7,16.0,3.3,3.3,38.1,11.3,86,124,-2.7
James Harden,30:06,.636,.559,.529,.353,0.0,23.9,11.7,43.8,1.6,0.0,9.2,31.1,128,129,8.6
Derrick Jones Jr.,28:21,.601,.542,.583,.250,8.1,8.5,8.3,13.8,1.7,3.5,7.0,21.9,123,129,3.0
Ivica Zubac,25:37,.394,.375,.000,.250,17.8,14.1,16.0,13.7,3.8,0.0,18.4,18.4,92,126,-7.0
Nicolas Batum,17:50,.300,.300,1.000,.000,0.0,6.7,3.3,26.6,0.0,0.0,16.7,14.6,80,136,-10.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bogdan Bogdanović,29:34,.564,.500,.750,.500,0.0,24.4,11.9,23.1,3.3,0.0,9.3,15.8,120,125,2.2
John Collins,24:56,.799,.688,.250,.750,4.6,14.4,9.4,8.2,2.0,0.0,32.0,27.2,106,130,-3.0
Brook Lopez,15:48,.857,.857,.571,.000,7.2,7.6,7.4,0.0,0.0,0.0,22.2,24.7,108,136,2.9
Chris Paul,11:19,.000,.000,1.000,.000,0.0,10.6,5.2,38.6,0.0,0.0,50.0,7.7,76,135,-13.5
Kobe Brown,6:35,.000,.000,1.000,.000,0.0,18.2,8.9,44.2,0.0,0.0,0.0,19.7,47,134,-13.9
Cam Christie,6:35,.625,.625,.500,.000,17.4,18.2,17.8,0.0,0.0,0.0,0.0,26.3,128,134,5.0
Yanic Konan Niederhauser,6:35,.665,.500,.000,2.000,17.4,18.2,17.8,0.0,0.0,0.0,21.0,31.3,116,134,-7.5
Jahmyl Telfort,6:35,.000,.000,1.000,.000,0.0,18.2,8.9,0.0,0.0,0.0,0.0,6.6,0,134,-12.7
Team Totals,240,.582,.525,.538,.338,23.8,80.0,51.2,78.8,9.2,4.2,17.1,100.0,109.8,129.3,
