Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Devin Vassell,30:56,.450,.464,.286,.071,4.0,6.5,5.4,15.3,3.1,0.0,0.0,19.6,113,94,1.8
Harrison Barnes,30:18,.500,.500,.429,.000,0.0,6.6,3.6,3.5,0.0,0.0,22.2,12.5,84,101,-8.0
Victor Wembanyama,29:41,.774,.738,.095,.524,4.1,47.2,27.9,6.3,1.6,7.8,0.0,36.6,162,79,22.8
Stephon Castle,28:32,.671,.708,.250,.833,8.6,17.5,13.5,27.6,3.3,0.0,23.4,31.5,115,90,6.5
Julian Champagnie,25:24,.579,.500,.667,1.000,4.8,11.8,8.7,7.9,1.9,0.0,0.0,7.1,148,95,3.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keldon Johnson,24:39,.917,.917,.167,.000,10.0,12.2,11.2,9.7,1.9,0.0,0.0,10.2,191,95,9.4
Dylan Harper,22:41,.504,.536,.143,.143,5.4,13.2,9.7,12.0,0.0,0.0,21.2,34.9,86,99,-12.9
Luke Kornet,15:47,.333,.333,.000,.000,7.8,19.0,14.0,19.4,0.0,9.8,25.0,10.6,98,89,1.4
Carter Bryant,9:16,.000,.000,.500,.000,0.0,21.6,11.9,0.0,0.0,0.0,0.0,9.1,0,97,-11.5
Jordan McLaughlin,8:08,.500,.500,.500,.000,0.0,0.0,0.0,13.4,5.9,0.0,0.0,10.3,126,90,2.9
Bismack Biyombo,4:56,,,,,0.0,20.3,11.2,0.0,19.4,0.0,100.0,17.0,0,52,-6.3
Harrison Ingram,4:04,1.500,1.500,1.000,.000,30.3,0.0,13.6,0.0,0.0,0.0,0.0,10.3,261,103,23.6
David Jones García,4:04,1.025,1.000,.000,.500,30.3,0.0,13.6,89.4,0.0,0.0,0.0,25.2,210,102,33.2
Riley Minix,1:34,,,,,0.0,63.8,35.2,0.0,0.0,0.0,,0.0,0,84,-1.0
Team Totals,240,.629,.621,.230,.322,28.2,81.3,57.5,48.0,10.0,8.1,13.1,100.0,124.4,91.5,
