Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jrue Holiday,35:29,.760,.719,.500,.250,9.2,6.6,8.0,33.3,2.5,0.0,18.4,23.4,140,127,4.1
Deni Avdija,34:03,.579,.500,.417,.833,6.4,24.1,14.9,18.8,1.3,2.9,26.8,25.1,102,123,-7.7
Toumani Camara,31:25,.571,.536,.571,.143,10.4,3.7,7.2,20.7,2.8,0.0,11.8,20.5,126,128,-1.1
Donovan Clingan,27:40,.363,.333,.333,.333,15.8,12.7,14.3,16.3,1.6,10.6,0.0,9.5,134,123,-2.2
Shaedon Sharpe,24:20,.605,.571,.571,.143,0.0,19.2,9.3,0.0,0.0,0.0,6.3,24.9,115,129,-7.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jerami Grant,24:47,.597,.458,.583,.583,8.8,4.7,6.8,5.1,3.6,0.0,6.2,24.7,132,125,-2.8
Blake Wesley,19:51,.714,.714,.714,.000,0.0,11.8,5.7,20.0,4.5,4.9,12.5,15.4,135,119,4.4
Rayan Rupert,13:43,.750,.750,1.000,.000,0.0,25.6,12.4,8.2,6.5,0.0,0.0,5.6,167,112,4.0
Duop Reath,12:10,.643,.643,.857,.000,0.0,9.6,4.6,23.1,0.0,0.0,0.0,21.9,144,132,2.8
Caleb Love,8:03,.625,.625,.750,.000,0.0,14.5,7.0,70.0,0.0,0.0,0.0,18.9,167,130,12.6
Matisse Thybulle,4:42,1.500,1.500,1.000,.000,0.0,0.0,0.0,28.5,19.0,0.0,0.0,8.1,279,93,39.4
Yang Hansen,3:47,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.2,64,134,-20.3
Scoot Henderson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Damian Lillard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Kris Murray,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,.630,.589,.573,.281,31.8,61.0,45.9,73.9,13.0,10.2,14.3,100.0,126.3,124.4,
