Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Payton Pritchard,34:25,.735,.700,.700,.200,3.0,10.5,7.0,9.0,0.0,2.4,8.4,15.0,141,124,1.2
Jaylen Brown,34:13,.465,.406,.219,.250,9.0,18.5,14.0,33.1,2.9,4.9,12.3,51.4,97,111,-2.4
Derrick White,31:14,.840,.769,.846,.538,6.5,14.5,10.8,16.9,4.8,2.7,11.1,25.1,156,110,17.1
Jordan Walsh,28:31,.583,.583,.333,.000,3.6,15.9,10.1,20.4,3.5,0.0,14.3,10.7,128,113,0.9
Luka Garza,11:20,.000,.000,1.000,.000,0.0,8.0,4.2,0.0,0.0,0.0,0.0,3.8,0,126,-14.4
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Baylor Scheierman,30:18,.929,.929,.714,.000,3.4,6.0,4.8,5.3,0.0,0.0,12.5,11.5,154,127,-1.9
Josh Minott,19:12,.699,.667,.500,.167,10.6,14.2,12.5,24.6,2.6,0.0,13.4,16.8,144,116,6.3
Sam Hauser,17:13,.625,.625,.750,.000,5.9,0.0,2.8,8.6,0.0,0.0,0.0,10.1,145,131,-3.9
Amari Williams,15:22,.568,,,,0.0,17.7,9.4,0.0,0.0,11.0,0.0,2.5,122,116,-2.4
Anfernee Simons,11:43,.317,.214,.429,.286,8.7,0.0,4.1,48.3,0.0,7.2,11.3,32.9,95,128,-3.6
Hugo González,6:30,.266,.000,1.000,2.000,0.0,27.9,14.8,19.4,7.7,0.0,0.0,12.6,91,96,-3.2
Chris Boucher,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Xavier Tillman Sr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.600,.552,.494,.276,25.5,60.4,44.0,63.2,9.3,12.3,11.8,100.0,121.3,118.2,
