Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jordan Poole,34:20,.612,.464,.571,.643,2.9,3.5,3.1,26.6,1.5,0.0,5.3,24.0,130,135,5.5
Trey Murphy III,33:37,.295,.273,.364,.182,0.0,17.8,8.0,30.1,0.0,0.0,0.0,15.4,81,132,-7.8
Jeremiah Fears,26:31,.091,.091,.364,.000,3.7,4.5,4.1,13.8,1.9,0.0,26.7,24.6,25,133,-24.1
Herbert Jones,22:40,.564,.500,.500,.500,0.0,10.6,4.8,0.0,0.0,0.0,17.0,22.6,93,135,-9.6
Yves Missi,19:26,.887,.750,.000,1.250,15.1,24.7,19.4,36.0,0.0,0.0,13.9,16.1,169,129,10.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Saddiq Bey,24:15,.611,.611,.778,.000,0.0,9.9,4.4,0.0,4.2,0.0,25.0,21.5,81,126,-1.0
Derik Queen,21:41,.622,.429,.143,.857,4.5,11.1,7.5,0.0,2.4,0.0,9.4,21.4,122,129,-2.9
Jose Alvarado,21:40,.417,.417,.667,.000,4.5,11.1,7.5,18.8,4.7,0.0,14.3,14.1,87,124,-0.9
Jordan Hawkins,15:05,.000,.000,.400,.000,6.5,8.0,7.2,11.4,0.0,0.0,0.0,14.4,23,137,-16.7
DeAndre Jordan,10:58,.717,.750,.000,.500,8.9,43.8,24.6,0.0,0.0,0.0,0.0,19.4,143,121,5.3
Karlo Matković,3:16,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0,140,-21.1
Bryce McGowens,3:16,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0,140,-30.8
Micah Peavy,3:16,.500,.500,.000,.000,60.0,0.0,33.0,0.0,0.0,0.0,0.0,26.6,129,140,8.2
Team Totals,240,.467,.387,.429,.333,22.4,60.0,39.3,60.7,7.5,0.0,12.7,100.0,95.9,129.9,
