Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Brunson,32:28,.437,.382,.294,.176,0.0,3.4,1.6,37.9,1.5,0.0,9.8,26.2,103,107,-4.7
OG Anunoby,32:02,.615,.615,.385,.000,3.1,17.0,9.7,8.9,7.4,0.0,13.3,19.6,108,91,4.9
Karl-Anthony Towns,30:29,.609,.563,.333,.292,16.1,28.6,22.0,31.4,3.1,0.0,10.0,41.3,122,98,9.7
Mikal Bridges,29:29,.625,.625,.375,.000,0.0,7.4,3.5,17.4,4.8,10.6,0.0,11.3,139,91,9.5
Landry Shamet,24:35,.590,.500,.750,.375,4.0,17.8,10.5,0.0,0.0,4.2,9.7,17.6,113,105,-3.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Hart,26:23,.857,.857,.571,.000,0.0,41.3,19.6,26.1,0.0,0.0,12.5,12.7,153,103,6.0
Jordan Clarkson,21:21,.805,.750,.625,.375,0.0,5.1,2.4,13.7,0.0,0.0,9.7,20.2,145,110,4.3
Miles McBride,14:10,.500,.500,.667,.000,6.9,15.4,10.9,25.0,3.4,0.0,0.0,8.9,146,100,2.8
Guerschon Yabusele,13:54,.174,.000,1.000,1.000,14.1,7.8,11.1,0.0,0.0,0.0,25.8,11.7,62,108,-18.8
Mohamed Diawara,4:16,.000,.000,.000,2.000,0.0,0.0,0.0,25.6,0.0,0.0,34.7,28.2,21,108,-37.2
Tyler Kolek,3:40,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,97,111,-10.0
Pacome Dadiet,3:37,,,,,0.0,30.2,14.3,0.0,0.0,0.0,,0.0,0,105,-6.9
Ariel Hukporti,3:37,.000,.000,.000,.000,54.2,60.3,57.1,30.2,0.0,0.0,0.0,11.6,128,100,2.8
Trey Jemison,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.579,.548,.436,.213,24.5,84.1,52.7,72.7,11.9,8.7,10.5,100.0,117.7,100.9,
