Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Giddey,38:17,.578,.553,.263,.105,5.6,23.5,14.8,46.3,2.6,0.0,16.8,26.8,123,125,6.2
Tre Jones,33:53,.540,.500,.154,.154,3.1,3.0,3.0,19.4,1.4,0.0,12.6,20.1,114,136,-4.9
Nikola Vučević,32:00,.781,.750,.400,.200,13.3,31.3,22.6,16.7,0.0,2.8,21.6,18.6,136,126,5.2
Matas Buzelis,31:23,.636,.636,.545,.000,3.4,22.3,13.2,0.0,1.6,0.0,8.3,16.4,117,128,-1.0
Isaac Okoro,21:56,.636,.636,.364,.000,4.9,0.0,2.4,0.0,0.0,0.0,21.4,27.4,94,140,-10.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Patrick Williams,25:56,.511,.444,.778,.444,4.1,3.9,4.0,14.1,3.8,0.0,0.0,17.8,127,130,1.1
Kevin Huerter,21:26,.438,.438,.625,.000,0.0,14.0,7.2,11.7,2.3,8.5,11.1,18.0,92,124,-3.4
Jalen Smith,16:00,.806,.857,.571,.143,13.3,18.8,16.1,0.0,0.0,0.0,0.0,20.0,158,133,4.2
Jevon Carter,12:12,.000,.000,1.000,.000,0.0,0.0,0.0,17.5,0.0,0.0,0.0,3.5,102,140,-10.1
Julian Phillips,5:45,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0,140,-15.7
Dalen Terry,1:12,.500,.500,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,98,140,5.0
Ayo Dosunmu,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.593,.575,.430,.118,26.7,70.8,49.5,62.2,7.1,5.7,12.5,100.0,118.2,130.4,
